,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,new_addition,trending,labels
38,lindera,lindera-morphology/lindera,nlp,https://github.com/lindera/lindera,https://github.com/lindera/lindera,MIT,2020-01-22 14:27:57,2025-12-31 02:02:11,2025-12-30 11:08:46,51.0,15.0,93.0,556.0,,2025-12-30 05:36:40,1.5.0,3562.0,50.0,100.0,A multilingual morphological analysis library.,903.0,903.0,26.0,21,True,1.0,lindera/lindera,,,
39,ChatGPT,lencx/ChatGPT,apps,https://github.com/lencx/ChatGPT,https://github.com/lencx/ChatGPT,,2022-12-07 09:43:02,2024-08-29 17:58:11,2024-08-29 17:58:11,6122.0,871.0,365.0,54379.0,,2023-08-03 13:51:20,1.1.0,6115651.0,165287.0,34.0,"ChatGPT Desktop Application (Mac, Windows and Linux).",,,31.0,20,False,2.0,,,,
40,tabby,TabbyML/tabby,apps,https://github.com/TabbyML/tabby,https://github.com/TabbyML/tabby,,2023-03-16 09:18:01,2025-12-29 20:03:46,2025-12-29 02:00:19,1655.0,231.0,750.0,32657.0,,2025-09-25 16:26:54,0.31.2,53357.0,1905.0,100.0,Self-hosted AI coding assistant.,,,117.0,20,False,2.0,,True,,
41,datafuse,datafuselabs/datafuse,data-loading,https://github.com/databendlabs/databend,https://github.com/databendlabs/databend,,2020-10-10 06:04:42,2026-01-01 03:59:17,2025-12-31 23:35:25,840.0,502.0,5440.0,9071.0,,2025-12-25 03:34:04,1.2.861-nightly,2821.0,403.0,100.0,"One Warehouse for Analytics, Search, AI. Snowflake + Elasticsearch + Vector DB rebuilt from scratch. Unified..",4.0,4.0,248.0,20,False,3.0,databendlabs/databend,,,
42,lancedb,lancedb/lancedb,mlops,https://github.com/lancedb/lancedb,https://github.com/lancedb/lancedb,Apache-2.0,2023-02-28 01:15:17,2025-12-29 17:08:05,2025-12-29 17:08:04,677.0,471.0,670.0,8362.0,,2025-12-17 06:59:54,0.23.1-beta.1,10.0,1.0,100.0,Developer-friendly OSS embedded retrieval library for multimodal AI. Search More; Manage Less.,14.0,14.0,163.0,20,True,2.0,,,,
43,mistral.rs,EricLBuehler/mistral.rs,ml-frameworks,https://github.com/EricLBuehler/mistral.rs,https://github.com/EricLBuehler/mistral.rs,MIT,2024-02-26 22:30:06,2025-12-30 16:02:09,2025-12-19 06:50:35,496.0,172.0,382.0,6316.0,3082.0,2025-06-10 23:28:29,0.6.0,2306.0,109.0,39.0,Blazingly fast LLM inference.,,,70.0,20,True,1.0,,,,
44,rig,0xPlaygrounds/rig,ml-frameworks,https://github.com/0xPlaygrounds/rig,https://github.com/0xPlaygrounds/rig,MIT,2024-06-05 13:42:28,2025-12-22 20:22:31,2025-12-19 12:26:37,596.0,94.0,407.0,5292.0,,2025-12-15 22:44:51,rig-vertexai-v0.2.2,,,100.0,Build modular and scalable LLM Applications in Rust.,550.0,550.0,130.0,20,True,1.0,,True,,
45,tch-rs,LaurentMazare/tch-rs,ml-frameworks,https://github.com/LaurentMazare/tch-rs,https://github.com/LaurentMazare/tch-rs,Apache-2.0,2019-02-16 21:08:44,2025-11-04 18:37:55,2025-11-04 18:37:55,407.0,189.0,437.0,5201.0,,,,3105.0,69.0,1.0,Rust bindings for the C++ api of PyTorch.,2802.0,2802.0,81.0,20,True,1.0,,,,['binding']
46,arroyo,ArroyoSystems/arroyo,data-loading,https://github.com/ArroyoSystems/arroyo,https://github.com/ArroyoSystems/arroyo,Apache-2.0,2023-03-31 17:41:56,2025-12-19 23:54:09,2025-12-19 23:19:50,324.0,85.0,132.0,4737.0,779.0,2025-12-01 16:12:56,0.15.0,2375.0,74.0,28.0,Distributed stream processing engine in Rust.,,,37.0,20,True,3.0,,,,
47,tract,sonos/tract,ml-frameworks,https://github.com/sonos/tract,https://github.com/sonos/tract,,2017-08-07 09:31:26,2025-12-28 10:32:23,2025-12-28 10:32:23,230.0,57.0,213.0,2709.0,,2025-08-26 15:14:54,0.22.0,28510.0,438.0,93.0,"Tiny, no-nonsense, self-contained, Tensorflow and ONNX inference.",43.0,43.0,78.0,20,False,1.0,,,,
48,fst,BurntSushi/fst,data-loading,https://github.com/BurntSushi/fst,https://github.com/BurntSushi/fst,Unlicense,2015-09-05 00:25:46,2024-09-25 20:46:04,2024-09-25 20:46:03,122.0,26.0,65.0,2017.0,271.0,,,,,,Represent large sets and maps compactly with finite state transducers.,12698.0,12698.0,25.0,20,False,3.0,,,,
