,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,commit_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,open_issue_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,labels,updated_github_id,new_addition
116,gamma,metamolecular/gamma,ml-frameworks,https://github.com/metamolecular/gamma,https://github.com/metamolecular/gamma,,2020-02-14 14:48:02,2021-01-25 18:43:42,2021-01-25 18:42:39,4.0,6.0,107.0,50.0,A graph library for Rust.,,,3.0,7,False,3,,,,,,,,,,
117,fwumious_wabbit,outbrain/fwumious_wabbit,ml-frameworks,https://github.com/outbrain/fwumious_wabbit,https://github.com/outbrain/fwumious_wabbit,,2020-09-14 12:52:38,2021-07-19 10:03:39,2021-05-17 06:58:48,7.0,,100.0,,"Fwumious Wabbit, fast on-line machine learning toolkit written in Rust.",,,7.0,7,False,3,,2.0,,,,,,,,
118,instant-distance,InstantDomain/instant-distance,ml-frameworks,https://github.com/InstantDomain/instant-distance,https://github.com/InstantDomain/instant-distance,,2020-12-14 15:15:27,2021-07-05 13:23:06,2021-07-05 13:22:58,5.0,1.0,100.0,,"Fast approximate nearest neighbor searching in Rust, based on HNSW index.",,,6.0,7,False,3,,,,,,,,,,
119,rustfst,Garvys/rustfst,nlp,https://github.com/Garvys/rustfst,https://github.com/Garvys/rustfst,,2018-09-13 21:21:45,2021-06-24 15:54:19,2021-06-24 15:54:00,6.0,15.0,72.0,,"Rust re-implementation of OpenFST - library for constructing, combining, optimizing, and searching weighted finite-..",,,8.0,7,False,3,,11.0,2020-02-04 13:53:05,rustfst-v0.5.0,,,1.0,,,
120,word2vec-rs,mklf/word2vec-rs,nlp,https://github.com/mklf/word2vec-rs,https://github.com/mklf/word2vec-rs,,2016-11-11 16:06:12,2021-06-16 07:20:11,2021-06-16 06:43:21,8.0,,28.0,20.0,pure rust implemention of word2vec.,,,3.0,7,False,3,,1.0,,,,,,,,
121,bhtsne,frjnn/bhtsne,ml-frameworks,https://github.com/frjnn/bhtsne,https://github.com/frjnn/bhtsne,MIT,2020-08-21 15:39:47,2021-03-21 15:18:08,2021-03-21 15:17:56,1.0,2.0,21.0,14.0,Barnes-Hut t-SNE implementation written in Rust.,,,,7,False,3,,2.0,,,,,,,,
122,rust-dl-webserver,epwalsh/rust-dl-webserver,ml-frameworks,https://github.com/epwalsh/rust-dl-webserver,https://github.com/epwalsh/rust-dl-webserver,,2020-03-25 21:29:16,2021-07-14 23:24:30,2021-07-14 23:24:29,5.0,,18.0,64.0,Example of serving deep learning models in Rust with batched prediction.,,,3.0,7,False,3,,,,,,,,,,
123,crfsuite-rs,messense/crfsuite-rs,ml-frameworks,https://github.com/messense/crfsuite-rs,https://github.com/messense/crfsuite-rs,MIT,2018-01-05 07:58:56,2021-04-24 07:26:33,2021-01-27 09:27:30,,8.0,16.0,144.0,Rust binding to crfsuite.,,,,7,False,3,,,,,,,,,,
124,h2o-kubernetes,h2oai/h2o-kubernetes,mlops,https://github.com/h2oai/h2o-kubernetes,https://github.com/h2oai/h2o-kubernetes,Apache-2.0,2020-08-04 16:47:37,2021-02-24 19:02:26,2021-02-09 11:49:12,2.0,10.0,13.0,69.0,H2O Open Source Kubernetes operator and a command-line tool to ease deployment (and undeployment) of H2O open-source..,,,4.0,7,False,1,,4.0,2021-02-09 11:05:13,operator-0.1.0,6.0,1.0,1.0,,,
125,craftml-rs,tomtung/craftml-rs,ml-frameworks,https://github.com/tomtung/craftml-rs,https://github.com/tomtung/craftml-rs,MIT,2018-10-05 15:05:19,2019-03-19 03:46:15,2019-03-19 03:46:03,2.0,2.0,12.0,26.0,"A Rust implementation of CRAFTML, an Efficient Clustering-based Random Forest for Extreme Multi-label Learning.",,,,7,False,3,,,,,,,,,,
126,lumberjack,sebpuetz/lumberjack,nlp,https://github.com/sebpuetz/lumberjack,https://github.com/sebpuetz/lumberjack,Apache-2.0,2019-03-27 14:31:59,2020-05-05 12:29:29,2019-08-28 14:04:12,2.0,6.0,11.0,71.0,Read and modify constituency trees in Rust.,,,2.0,7,False,3,,1.0,2019-05-27 12:20:25,0.3,,,2.0,,,
127,drug,CasperN/drug,ml-frameworks,https://github.com/CasperN/drug,https://github.com/CasperN/drug,MIT,2018-08-12 21:43:02,2018-10-26 16:34:55,2018-10-26 16:34:50,,1.0,10.0,72.0,Differentiable Rust Graphs (neural network library).,,,,7,False,3,,,,,,,,,,
128,ngt-rs,lerouxrgd/ngt-rs,ml-frameworks,https://github.com/lerouxrgd/ngt-rs,https://github.com/lerouxrgd/ngt-rs,Apache-2.0,2020-04-26 21:45:05,2021-04-15 21:51:34,2021-04-15 21:45:55,1.0,1.0,10.0,29.0,Rust wrappers for NGT approximate nearest neighbor search.,,,,7,False,3,,,,,,,,['binding'],,
