,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,labels,updated_github_id
35,lingua-rs,pemistahl/lingua-rs,nlp,https://github.com/pemistahl/lingua-rs,https://github.com/pemistahl/lingua-rs,Apache-2.0,2020-06-17 10:47:30,2021-06-02 21:23:16,2021-06-02 21:22:34,6.0,5.0,8.0,286.0,,"The most accurate natural language detection library in the Rust ecosystem, suitable for long and short text alike.",,,3.0,13,True,2,1.0,2021-06-02 21:24:47,1.2.2,,,8.0,,
36,rustface,atomashpolskiy/rustface,image,https://github.com/atomashpolskiy/rustface,https://github.com/atomashpolskiy/rustface,,2017-12-21 20:24:40,2021-06-07 00:25:09,2021-03-27 21:12:41,23.0,6.0,15.0,274.0,168.0,Face detection library for the Rust programming language.,,,6.0,13,False,3,,2020-11-02 08:22:28,0.1.6,,,3.0,,
37,nnsplit,bminixhofer/nnsplit,nlp,https://github.com/bminixhofer/nnsplit,https://github.com/bminixhofer/nnsplit,MIT,2020-01-31 10:34:17,2021-06-06 03:58:50,2021-04-15 12:06:36,11.0,7.0,13.0,169.0,,"Semantic text segmentation. For sentence boundary detection, compound splitting and more.",2.0,2.0,4.0,13,True,2,,2021-03-16 17:04:05,0.5.7,,,12.0,,
38,graphlib,purpleprotocol/graphlib,graph,https://github.com/purpleprotocol/graphlib,https://github.com/purpleprotocol/graphlib,MIT,2019-03-14 12:52:32,2021-03-14 20:25:32,2020-07-01 09:05:33,11.0,5.0,21.0,151.0,167.0,Simple but powerful graph library for Rust.,,,11.0,13,True,3,-1.0,2020-04-14 14:23:06,0.6.2,,,18.0,,
39,azure-sdk-for-rust,Azure/azure-sdk-for-rust,ml-frameworks,https://github.com/Azure/azure-sdk-for-rust,https://github.com/Azure/azure-sdk-for-rust,MIT,2020-09-15 18:05:06,2021-06-07 10:08:48,2021-06-05 13:27:29,47.0,44.0,81.0,118.0,961.0,This repository is for active development of the *unofficial* Azure SDK for Rust. This repository is *not* supported..,,,53.0,13,True,2,,,,,,,['binding'],
40,tokenizations,explosion/tokenizations,nlp,https://github.com/explosion/tokenizations,https://github.com/explosion/tokenizations,MIT,2019-12-30 10:02:22,2021-05-29 02:39:44,2021-05-17 14:25:07,6.0,,9.0,79.0,265.0,Robust and Fast tokenizations alignment library for Rust and Python https://tamuhey.github.io/tokenizations/.,,,3.0,13,False,2,,2021-02-01 15:28:20,python/0.8.1,,,2.0,,
41,leaf,autumnai/leaf,ml-frameworks,https://github.com/autumnai/leaf,https://github.com/autumnai/leaf,,2015-10-26 08:20:56,2018-01-14 18:40:05,2018-01-14 18:40:04,262.0,26.0,24.0,5468.0,164.0,Open Machine Intelligence Framework for Hackers. (GPU/CPU).,,,15.0,12,False,2,,,,,,,,
42,evcxr,google/evcxr,ml-frameworks,https://github.com/google/evcxr,https://github.com/google/evcxr,Apache-2.0,2018-09-25 10:19:22,2021-06-06 04:51:04,2021-06-06 04:50:22,115.0,47.0,73.0,2527.0,,,,,27.0,12,False,2,,,,,,,,
43,tch-rs,LaurentMazare/tch-rs,ml-frameworks,https://github.com/LaurentMazare/tch-rs,https://github.com/LaurentMazare/tch-rs,,2019-02-16 21:08:44,2021-06-04 07:22:50,2021-06-04 07:22:50,98.0,36.0,197.0,1084.0,564.0,Rust bindings for the C++ api of PyTorch.,,,35.0,12,False,2,,,,,,,['binding'],
44,rust-csv,BurntSushi/rust-csv,data-loading,https://github.com/BurntSushi/rust-csv,https://github.com/BurntSushi/rust-csv,,2014-03-22 06:58:51,2021-06-03 15:47:26,2021-04-15 15:46:24,126.0,28.0,122.0,962.0,431.0,"A CSV parser for Rust, with Serde support.",,,48.0,12,False,3,,,,,,,,
45,Enzyme,wsmoses/Enzyme,ml-frameworks,https://github.com/wsmoses/Enzyme,https://github.com/wsmoses/Enzyme,,2019-02-27 03:27:23,2021-06-06 21:16:00,2021-06-06 20:53:33,30.0,13.0,26.0,475.0,,High-performance automatic differentiation of LLVM.,,,11.0,12,False,2,,2021-05-24 16:20:23,0.0.12,,,6.0,,
46,aho-corasick,BurntSushi/aho-corasick,nlp,https://github.com/BurntSushi/aho-corasick,https://github.com/BurntSushi/aho-corasick,,2015-06-11 23:02:10,2021-05-12 16:01:21,2021-05-12 16:01:21,52.0,2.0,37.0,450.0,181.0,A fast implementation of Aho-Corasick in Rust.,,,24.0,12,False,2,,,,,,,,
47,sprs,vbarrielle/sprs,ml-frameworks,https://github.com/vbarrielle/sprs,https://github.com/vbarrielle/sprs,,2015-05-17 19:01:01,2021-05-09 22:32:19,2021-05-09 22:32:19,25.0,36.0,96.0,241.0,1023.0,sparse linear algebra library for rust.,,,21.0,12,False,2,,,,,,,,
48,memchr,BurntSushi/memchr,nlp,https://github.com/BurntSushi/memchr,https://github.com/BurntSushi/memchr,,2015-06-11 23:01:31,2021-05-06 21:27:46,2021-05-06 21:27:09,47.0,1.0,32.0,240.0,165.0,Optimized string search routines for Rust.,,,29.0,12,False,2,,,,,,,,
