,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,trending,labels,new_addition
12,Enzyme,wsmoses/Enzyme,ml-frameworks,https://github.com/wsmoses/Enzyme,https://github.com/wsmoses/Enzyme,,2019-02-27 03:27:23,2021-04-04 23:47:05,2021-04-04 20:07:28,27.0,12.0,25.0,447.0,,2021-03-23 23:36:21,0.0.9,,,3.0,High-performance automatic differentiation of LLVM.,1256.0,15,False,2,,,,,
13,rust-numpy,PyO3/rust-numpy,ml-frameworks,https://github.com/PyO3/rust-numpy,https://github.com/PyO3/rust-numpy,BSD-2-Clause,2017-04-21 06:36:48,2021-04-03 18:33:58,2021-03-17 03:42:19,56.0,13.0,46.0,434.0,,2021-03-17 03:43:02,0.13.1,,,11.0,PyO3-based Rust binding of NumPy C-API.,24.0,15,True,2,,,,,True
14,whatlang-rs,greyblake/whatlang-rs,nlp,https://github.com/greyblake/whatlang-rs,https://github.com/greyblake/whatlang-rs,MIT,2016-11-05 21:26:51,2021-03-27 12:28:53,2021-03-27 12:28:50,28.0,3.0,32.0,422.0,471.0,2019-03-03 16:17:34,0.7.0,,,3.0,Natural language detection library for Rust. Try demo online: https://www.greyblake.com/whatlang/.,14.0,15,True,1,,,,,
15,texture-synthesis,EmbarkStudios/texture-synthesis,image,https://github.com/EmbarkStudios/texture-synthesis,https://github.com/EmbarkStudios/texture-synthesis,,2019-08-26 08:06:48,2021-03-26 11:29:57,2021-03-26 11:29:54,41.0,9.0,35.0,1354.0,,2021-03-26 11:26:35,0.8.2,1895.0,94.0,14.0,Example-based texture synthesis written in Rust.,18.0,14,False,1,,,,,
16,linfa,rust-ml/linfa,ml-frameworks,https://github.com/rust-ml/linfa,https://github.com/rust-ml/linfa,,2018-04-05 07:03:30,2021-04-04 18:55:37,2021-03-31 18:15:09,60.0,15.0,24.0,840.0,198.0,2021-03-11 09:31:50,0.3.1,,,4.0,A Rust machine learning framework.,14.0,14,False,2,,,,,
17,opencv-rust,twistedfall/opencv-rust,image,https://github.com/twistedfall/opencv-rust,https://github.com/twistedfall/opencv-rust,MIT,2015-04-14 06:32:54,2021-04-05 12:38:22,2021-04-05 12:38:21,63.0,8.0,168.0,616.0,868.0,,,,,,Rust bindings for OpenCV 3 & 4.,26.0,14,True,1,,,,['binding'],
18,snips-nlu-rs,snipsco/snips-nlu-rs,nlp,https://github.com/snipsco/snips-nlu-rs,https://github.com/snipsco/snips-nlu-rs,,2018-02-21 09:29:02,2020-01-28 16:20:20,2020-01-28 16:19:54,55.0,4.0,15.0,316.0,1583.0,2020-01-28 16:20:20,0.65.6,,,33.0,Snips NLU rust implementation.,21.0,14,False,1,,,,,
19,nlprule,bminixhofer/nlprule,nlp,https://github.com/bminixhofer/nlprule,https://github.com/bminixhofer/nlprule,,2020-07-19 16:24:54,2021-04-01 19:52:18,2021-04-01 19:52:15,26.0,13.0,21.0,314.0,,2021-04-01 19:18:18,0.5.3,1545.0,386.0,22.0,"A fast, low-resource Natural Language Processing and Text Correction library written in Rust.",6.0,14,False,1,,,,,
20,rustface,atomashpolskiy/rustface,image,https://github.com/atomashpolskiy/rustface,https://github.com/atomashpolskiy/rustface,,2017-12-21 20:24:40,2021-03-27 21:12:41,2021-03-27 21:12:41,21.0,5.0,14.0,271.0,168.0,2020-11-02 08:22:28,0.1.6,,,3.0,Face detection library for the Rust programming language.,6.0,14,False,1,,,,,
21,rusty-machine,AtheMathmo/rusty-machine,ml-frameworks,https://github.com/AtheMathmo/rusty-machine,https://github.com/AtheMathmo/rusty-machine,MIT,2015-11-14 05:55:27,2020-07-10 17:17:37,2020-02-14 18:25:14,142.0,33.0,66.0,1157.0,532.0,,,,,,Machine Learning library for Rust.,20.0,13,False,2,,,,,
22,juice,spearow/juice,ml-frameworks,https://github.com/spearow/juice,https://github.com/spearow/juice,,2017-01-14 21:27:49,2021-04-02 07:27:58,2021-03-31 21:59:59,56.0,27.0,40.0,757.0,1314.0,,,,,,The Hacker's Machine Learning Engine.,42.0,13,False,2,,,,,
23,rust-bert,guillaume-be/rust-bert,nlp,https://github.com/guillaume-be/rust-bert,https://github.com/guillaume-be/rust-bert,Apache-2.0,2020-01-25 09:40:07,2021-04-05 10:08:45,2021-03-26 16:37:58,38.0,6.0,33.0,535.0,720.0,,,,,,"Rust native ready-to-use NLP pipelines and transformer-based models (BERT, DistilBERT, GPT2,...).",9.0,13,True,2,,,,,
24,rustlearn,maciejkula/rustlearn,ml-frameworks,https://github.com/maciejkula/rustlearn,https://github.com/maciejkula/rustlearn,Apache-2.0,2015-12-03 21:48:17,2020-06-21 02:01:59,2020-06-21 02:01:58,43.0,8.0,4.0,481.0,76.0,2018-07-29 21:02:49,0.5.0,,,4.0,Machine learning crate for Rust.,9.0,13,True,2,,,,,
25,lingua-rs,pemistahl/lingua-rs,nlp,https://github.com/pemistahl/lingua-rs,https://github.com/pemistahl/lingua-rs,Apache-2.0,2020-06-17 10:47:30,2021-04-03 18:44:53,2021-01-31 19:17:17,4.0,6.0,7.0,267.0,84.0,2021-01-31 19:22:29,1.1.0,,,5.0,"The most accurate natural language detection library in the Rust ecosystem, suitable for long and short text alike.",2.0,13,True,2,,,,,
26,nnsplit,bminixhofer/nnsplit,nlp,https://github.com/bminixhofer/nnsplit,https://github.com/bminixhofer/nnsplit,MIT,2020-01-31 10:34:17,2021-03-31 23:19:23,2021-03-26 18:07:41,10.0,7.0,12.0,149.0,,2021-03-16 17:04:05,0.5.7,,,12.0,"Semantic text segmentation. For sentence boundary detection, compound splitting and more.",3.0,13,True,2,2.0,2.0,1.0,,
27,azure-sdk-for-rust,Azure/azure-sdk-for-rust,ml-frameworks,https://github.com/Azure/azure-sdk-for-rust,https://github.com/Azure/azure-sdk-for-rust,MIT,2020-09-15 18:05:06,2021-04-01 16:00:48,2021-04-01 16:00:47,34.0,30.0,61.0,91.0,926.0,,,,,,This repository is for active development of the *unofficial* Azure SDK for Rust. This repository is *not* supported..,48.0,13,False,2,,,,['binding'],True
28,leaf,autumnai/leaf,ml-frameworks,https://github.com/autumnai/leaf,https://github.com/autumnai/leaf,,2015-10-26 08:20:56,2018-01-14 18:40:05,2018-01-14 18:40:04,265.0,26.0,24.0,5470.0,164.0,,,,,,Open Machine Intelligence Framework for Hackers. (GPU/CPU).,15.0,12,False,2,,,,,
29,tch-rs,LaurentMazare/tch-rs,ml-frameworks,https://github.com/LaurentMazare/tch-rs,https://github.com/LaurentMazare/tch-rs,,2019-02-16 21:08:44,2021-03-25 22:10:25,2021-03-25 22:10:21,89.0,26.0,186.0,1001.0,551.0,,,,,,Rust bindings for the C++ api of PyTorch.,29.0,12,False,2,,,,['binding'],
30,cleora,Synerise/cleora,ml-frameworks,https://github.com/Synerise/cleora,https://github.com/Synerise/cleora,,2020-11-05 17:16:06,2021-03-22 12:52:33,2021-03-22 12:52:33,17.0,4.0,4.0,306.0,42.0,2020-12-23 18:07:46,1.1.0,212.0,42.0,3.0,"Cleora AI is a general-purpose model for efficient, scalable learning of stable and inductive entity embeddings for..",7.0,12,False,2,,,,,
31,rust-autograd,raskr/rust-autograd,ml-frameworks,https://github.com/raskr/rust-autograd,https://github.com/raskr/rust-autograd,MIT,2017-09-05 14:42:39,2021-02-06 10:34:39,2020-12-31 14:24:43,19.0,,21.0,280.0,343.0,,,,,,Tensors and differentiable operations (like TensorFlow) in Rust.,10.0,12,True,2,,,,,
32,orkhon,vertexclique/orkhon,ml-frameworks,https://github.com/vertexclique/orkhon,https://github.com/vertexclique/orkhon,MIT,2019-05-18 23:24:53,2021-02-01 15:23:47,2021-02-01 15:23:39,3.0,4.0,3.0,98.0,102.0,2020-11-17 23:04:49,0.2.0,,,1.0,Orkhon: ML Inference Framework and Server Runtime.,,12,False,2,,,,,
33,aho-corasick,BurntSushi/aho-corasick,nlp,https://github.com/BurntSushi/aho-corasick,https://github.com/BurntSushi/aho-corasick,,2015-06-11 23:02:10,2020-11-03 17:22:00,2020-11-03 17:20:49,51.0,2.0,29.0,432.0,169.0,,,,,,A fast implementation of Aho-Corasick in Rust.,22.0,11,False,2,,,,,
34,Peroxide,Axect/Peroxide,ml-frameworks,https://github.com/Axect/Peroxide,https://github.com/Axect/Peroxide,,2018-04-20 18:38:06,2021-04-03 12:40:23,2021-03-31 03:41:32,8.0,7.0,14.0,199.0,1165.0,,,,,,"Rust numeric library with R, MATLAB & Python syntax.",9.0,11,False,3,,,,,
35,rs-natural,christophertrml/rs-natural,nlp,https://github.com/christophertrml/rs-natural,https://github.com/christophertrml/rs-natural,MIT,2014-07-27 22:26:18,2020-10-17 18:22:37,2020-02-13 07:12:11,27.0,2.0,7.0,190.0,97.0,,,,,,Natural Language Processing for Rust.,14.0,11,False,2,,,,,
36,L2,bilal2vec/L2,ml-frameworks,https://github.com/bilal2vec/L2,https://github.com/bilal2vec/L2,MIT,2019-06-22 20:37:19,2021-02-04 03:11:05,2021-02-04 03:11:00,13.0,,1.0,126.0,164.0,2019-09-04 00:34:56,1.0,,,1.0,"l2 is a fast, Pytorch-style Tensor+Autograd library written in Rust.",,11,True,3,,,11.0,,
37,rustling-ontology,snipsco/rustling-ontology,nlp,https://github.com/snipsco/rustling-ontology,https://github.com/snipsco/rustling-ontology,,2017-04-24 15:08:48,2020-10-07 11:29:12,2020-10-07 11:29:08,46.0,28.0,26.0,109.0,1053.0,2020-01-23 14:58:51,0.19.3,,,49.0,Ontology for rustling.,19.0,11,False,2,,,,,True
38,lindera,lindera-morphology/lindera,nlp,https://github.com/lindera-morphology/lindera,https://github.com/lindera-morphology/lindera,MIT,2020-01-22 14:27:57,2021-01-16 05:55:48,2021-01-16 05:55:46,12.0,5.0,25.0,102.0,142.0,2020-10-15 11:11:47,0.7.1,,,16.0,A morphological analysis library.,6.0,11,True,2,,,-2.0,,
39,rsrl,tspooner/rsrl,ml-frameworks,https://github.com/tspooner/rsrl,https://github.com/tspooner/rsrl,MIT,2017-03-29 15:18:20,2020-06-18 11:34:02,2020-06-18 11:31:52,11.0,19.0,15.0,98.0,545.0,,,,,7.0,"A fast, safe and easy to use reinforcement learning framework in Rust.",4.0,11,False,3,,,,,
40,cv,rust-cv/cv,image,https://github.com/rust-cv/cv,https://github.com/rust-cv/cv,MIT,2020-04-04 17:46:04,2021-03-15 07:00:22,2021-03-15 07:00:17,7.0,24.0,2.0,85.0,562.0,,,,,,Rust CV mono-repo.,4.0,11,False,3,,,,,
41,rustling,snipsco/rustling,nlp,https://github.com/snipsco/rustling,https://github.com/snipsco/rustling,,2017-04-10 08:50:12,2019-09-11 16:13:12,2019-09-11 16:12:55,23.0,,2.0,61.0,193.0,2019-09-11 16:13:12,0.9.1,,,12.0,Rust implementation of Duckling.,6.0,11,False,2,,,,['binding'],True
42,snips-nlu-ontology,snipsco/snips-nlu-ontology,nlp,https://github.com/snipsco/snips-nlu-ontology,https://github.com/snipsco/snips-nlu-ontology,,2018-02-14 14:19:29,2020-03-08 14:16:49,2019-09-06 13:58:18,30.0,4.0,6.0,55.0,505.0,2019-09-06 13:58:41,0.67.2,,,35.0,Ontology of Snips NLU.,12.0,11,False,2,,,,,True
43,finalfusion-rust,finalfusion/finalfusion-rust,nlp,https://github.com/finalfusion/finalfusion-rust,https://github.com/finalfusion/finalfusion-rust,,2019-03-19 18:18:31,2021-03-29 04:58:49,2021-02-22 06:07:48,4.0,6.0,34.0,36.0,219.0,2020-08-15 06:46:38,0.14.0,,,8.0,finalfusion embeddings in Rust.,4.0,11,False,2,,,,,
44,RustNN,jackm321/RustNN,ml-frameworks,https://github.com/jackm321/RustNN,https://github.com/jackm321/RustNN,Apache-2.0,2015-03-27 08:34:35,2017-12-21 15:19:41,2015-05-08 02:34:16,30.0,1.0,2.0,301.0,41.0,,,,,,A neural network crate.,2.0,10,False,3,,,,,
45,rust-dataframe,nevi-me/rust-dataframe,data-loading,https://github.com/nevi-me/rust-dataframe,https://github.com/nevi-me/rust-dataframe,Apache-2.0,2019-01-09 02:52:48,2020-10-26 17:05:17,2020-10-26 17:05:04,18.0,12.0,26.0,271.0,119.0,,,,,,"A Rust DataFrame implementation, built on Apache Arrow.",4.0,10,True,3,,,,,
46,fancy-regex,fancy-regex/fancy-regex,nlp,https://github.com/fancy-regex/fancy-regex,https://github.com/fancy-regex/fancy-regex,MIT,2018-10-02 17:55:03,2021-02-15 00:23:37,2021-02-15 00:21:56,13.0,2.0,11.0,203.0,,,,,,,Rust library for regular expressions using fancy features like look-around and backreferences.,12.0,10,True,2,,,,,True
47,deeplearn-rs,tedsta/deeplearn-rs,ml-frameworks,https://github.com/tedsta/deeplearn-rs,https://github.com/tedsta/deeplearn-rs,MIT,2015-10-27 02:51:50,2019-10-30 04:18:48,2017-08-20 03:30:59,23.0,1.0,4.0,191.0,78.0,,,,,,Neural networks in Rust.,2.0,10,False,3,,,,,
48,rust-tokenizers,guillaume-be/rust-tokenizers,nlp,https://github.com/guillaume-be/rust-tokenizers,https://github.com/guillaume-be/rust-tokenizers,Apache-2.0,2019-11-09 16:14:11,2021-03-14 08:08:14,2021-02-18 16:42:24,8.0,,5.0,76.0,329.0,,,,,,"Rust-tokenizer offers high-performance tokenizers for modern language models, including WordPiece, Byte-Pair Encoding..",2.0,10,False,2,,,,,
49,alumina,millardjn/alumina,ml-frameworks,https://github.com/millardjn/alumina,https://github.com/millardjn/alumina,MIT,2017-02-06 15:57:08,2020-10-25 09:17:59,2020-10-25 09:17:58,5.0,3.0,,76.0,245.0,,,,,,A deep learning library for rust.,3.0,10,False,3,,,,,
50,torchrs,torchrs/torchrs,ml-frameworks,https://github.com/torchrs/torchrs,https://github.com/torchrs/torchrs,BSD-2-Clause,2017-05-27 21:57:45,2017-07-16 00:27:45,2017-07-16 00:27:34,11.0,1.0,,76.0,532.0,,,,,,Deep Learning in Rust with the PyTorch API.,,10,False,3,,,,['binding'],
51,finalfrontier,finalfusion/finalfrontier,nlp,https://github.com/finalfusion/finalfrontier,https://github.com/finalfusion/finalfrontier,,2018-06-02 08:47:45,2021-03-30 05:02:41,2021-02-08 06:26:07,4.0,2.0,28.0,60.0,278.0,2020-07-27 09:03:36,0.9.4,31.0,1.0,12.0,Context-sensitive word embeddings with subwords. In Rust.,6.0,10,False,2,,,,,
52,smartcore,smartcorelib/smartcore,ml-frameworks,https://github.com/smartcorelib/smartcore,https://github.com/smartcorelib/smartcore,Apache-2.0,2019-05-08 05:14:51,2021-03-06 00:26:24,2021-03-05 23:02:11,14.0,21.0,16.0,118.0,,,,,,,SmartCore is a comprehensive library for machine learning and numerical computing. The library provides a set of tools..,13.0,9,False,3,,,,,
53,vtext,rth/vtext,nlp,https://github.com/rth/vtext,https://github.com/rth/vtext,Apache-2.0,2018-11-05 09:02:15,2020-07-22 19:19:12,2020-06-18 21:00:31,10.0,11.0,7.0,109.0,143.0,,,,,,Simple NLP in Rust with Python bindings.,3.0,9,False,3,,,,,
54,NeuroFlow,MikhailKravets/NeuroFlow,ml-frameworks,https://github.com/MikhailKravets/NeuroFlow,https://github.com/MikhailKravets/NeuroFlow,MIT,2017-06-22 18:45:50,2021-01-29 17:43:28,2018-01-07 20:12:50,3.0,,1.0,53.0,194.0,,,,,,Awesome deep learning crate.,2.0,9,False,3,,,-1.0,,
55,tractjs,bminixhofer/tractjs,ml-frameworks,https://github.com/bminixhofer/tractjs,https://github.com/bminixhofer/tractjs,,2020-05-24 07:46:54,2021-04-01 01:33:44,2021-02-27 08:44:11,6.0,3.0,10.0,50.0,,2021-02-27 08:43:51,0.3.4,8.0,0.0,10.0,Run ONNX and TensorFlow inference in the browser.,2.0,9,False,3,,,,,True
56,rustml,daniel-e/rustml,ml-frameworks,https://github.com/daniel-e/rustml,https://github.com/daniel-e/rustml,,2015-06-23 13:59:00,2018-01-31 13:53:22,2018-01-31 13:53:17,6.0,2.0,3.0,46.0,332.0,2015-10-07 20:05:27,0.0.5,,,4.0,Machine learning in Rust.,2.0,9,False,3,,,,,
57,dpar,danieldk/dpar,nlp,https://github.com/danieldk/dpar,https://github.com/danieldk/dpar,Apache-2.0,2015-03-18 10:17:41,2020-09-14 12:16:26,2020-09-14 12:16:07,3.0,5.0,6.0,39.0,58.0,,,,,,Neural network transition-based dependency parser (in Rust).,3.0,9,False,3,,,,,
58,visual-odometry-rs,mpizenberg/visual-odometry-rs,image,https://github.com/mpizenberg/visual-odometry-rs,https://github.com/mpizenberg/visual-odometry-rs,MPL-2.0,2018-03-26 08:10:34,2020-01-17 19:04:01,2019-03-25 14:16:01,1.0,6.0,1.0,27.0,299.0,,,,,,Visual Odometry in Rust (vors).,,9,False,3,,,,,
59,sticker,stickeritis/sticker,nlp,https://github.com/stickeritis/sticker,https://github.com/stickeritis/sticker,,2019-02-15 09:35:54,2021-03-19 10:08:03,2021-03-19 10:08:00,2.0,15.0,37.0,27.0,206.0,2020-06-10 12:27:31,0.11.1,66.0,2.0,17.0,Succeeded by SyntaxDot: https://github.com/tensordot/syntaxdot.,4.0,9,False,3,,,,,
60,visionmagic,visioncortex/visionmagic,image,https://github.com/visioncortex/visionmagic,https://github.com/visioncortex/visionmagic,,2020-12-16 15:07:32,2021-02-07 06:22:52,2021-02-07 06:22:52,2.0,,,24.0,26.0,2020-12-18 17:16:23,0.1.2,,,3.0,Collection of vision & graphics algorithms.,,9,False,3,,,,,
61,chr,pemistahl/chr,nlp,https://github.com/pemistahl/chr,https://github.com/pemistahl/chr,Apache-2.0,2020-06-22 07:50:18,2021-01-14 10:14:41,2021-01-05 20:35:25,,1.0,,20.0,35.0,2021-01-05 20:46:19,1.0.0,9.0,3.0,1.0,A command-line tool that gives information about Unicode characters.,,9,False,3,,,,,True
62,gazetteer-entity-parser,snipsco/gazetteer-entity-parser,nlp,https://github.com/snipsco/gazetteer-entity-parser,https://github.com/snipsco/gazetteer-entity-parser,,2018-06-12 07:13:37,2019-12-06 14:10:32,2019-12-06 14:10:28,16.0,1.0,1.0,14.0,231.0,2019-08-27 13:51:07,0.8.0,,,8.0,Rust library for parsing and resolving entity values based on a gazetteer.,8.0,9,False,3,,,,,True
63,rust-tfrecord,jerry73204/rust-tfrecord,data-loading,https://github.com/jerry73204/rust-tfrecord,https://github.com/jerry73204/rust-tfrecord,MIT,2019-11-06 17:35:02,2021-04-01 08:17:28,2021-04-01 08:16:12,4.0,,1.0,13.0,159.0,,,,,,A Rust crate that reads and writes tfrecord files.,2.0,9,False,3,,,,,
64,snips-nlu-parsers,snipsco/snips-nlu-parsers,nlp,https://github.com/snipsco/snips-nlu-parsers,https://github.com/snipsco/snips-nlu-parsers,,2019-01-22 12:45:41,2020-01-24 10:14:32,2020-01-24 10:13:48,32.0,2.0,2.0,11.0,102.0,2020-01-24 10:14:32,0.4.3,196.0,7.0,13.0,Rust crate for entity parsing.,5.0,9,False,3,,,,,True
65,sentencepiece,danieldk/sentencepiece,nlp,https://github.com/danieldk/sentencepiece,https://github.com/danieldk/sentencepiece,Apache-2.0,2020-01-22 15:30:22,2021-04-02 09:31:37,2021-04-02 09:31:29,1.0,,2.0,6.0,,2021-01-25 13:33:05,0.6.0,,,2.0,Rust binding for the sentencepiece library.,2.0,9,False,3,,,,,
66,tch-serde,jerry73204/tch-serde,data-loading,https://github.com/jerry73204/tch-serde,https://github.com/jerry73204/tch-serde,MIT,2020-07-21 21:04:15,2021-03-26 13:34:06,2021-03-26 13:33:47,3.0,,,3.0,24.0,,,,,,Serialize/Deserialize tch-rs types with serde.,3.0,9,False,3,,,,,
67,hal,jramapuram/hal,ml-frameworks,https://github.com/jramapuram/hal,https://github.com/jramapuram/hal,MIT,2015-07-22 20:11:09,2016-10-22 00:27:46,2016-10-22 00:24:58,9.0,5.0,,75.0,52.0,,,,,,Rust based Cross-GPU Machine Learning.,2.0,8,False,3,,,,,
68,kodama,diffeo/kodama,ml-frameworks,https://github.com/diffeo/kodama,https://github.com/diffeo/kodama,MIT,2017-08-07 00:12:06,2020-12-21 14:04:54,2020-12-21 14:04:53,4.0,,,48.0,38.0,,,,,,Fast hierarchical agglomerative clustering in Rust.,2.0,8,False,3,,,,,
69,word2vec,dimakudosh/word2vec,nlp,https://github.com/DimaKudosh/word2vec,https://github.com/DimaKudosh/word2vec,MIT,2016-01-28 19:57:43,2019-11-04 15:30:36,2019-11-04 15:29:26,6.0,,,20.0,63.0,,,,,,Rust interface to word2vec.,5.0,8,False,3,,,,,
70,RusticSOM,avinashshenoy97/RusticSOM,ml-frameworks,https://github.com/avinashshenoy97/RusticSOM,https://github.com/avinashshenoy97/RusticSOM,MIT,2018-03-04 07:44:42,2020-10-14 21:10:03,2020-10-07 18:54:35,5.0,,,20.0,48.0,,,,,,Rust library for Self Organising Maps (SOM).,5.0,8,False,3,,,,,
71,autograph,charles-r-earp/autograph,ml-frameworks,https://github.com/charles-r-earp/autograph,https://github.com/charles-r-earp/autograph,,2019-06-17 23:43:49,2021-03-06 01:20:03,2021-03-06 01:19:58,3.0,,5.0,99.0,,,,,,,Machine Learning Library for Rust.,3.0,7,False,3,,,,,
72,fwumious_wabbit,outbrain/fwumious_wabbit,ml-frameworks,https://github.com/outbrain/fwumious_wabbit,https://github.com/outbrain/fwumious_wabbit,,2020-09-14 12:52:38,2021-03-30 08:31:11,2021-03-21 16:17:53,7.0,2.0,,96.0,,,,,,,"Fwumious Wabbit, fast on-line machine learning toolkit written in Rust.",7.0,7,False,3,,,,,
73,tflite-rs,boncheolgu/tflite-rs,ml-frameworks,https://github.com/boncheolgu/tflite-rs,https://github.com/boncheolgu/tflite-rs,,2018-10-23 13:13:57,2021-03-20 08:47:36,2021-03-20 08:19:51,18.0,9.0,8.0,38.0,143.0,,,,,,,7.0,7,False,3,,,,,
74,cogent,JonathanWoollett-Light/cogent,ml-frameworks,https://github.com/JonathanWoollett-Light/cogent,https://github.com/JonathanWoollett-Light/cogent,,2019-09-30 01:15:30,2021-03-26 15:47:16,2021-03-26 15:47:16,,,,24.0,354.0,,,,,,Simple neural network library for classification written in Rust.,2.0,7,False,3,,,,,
75,rust-dl-webserver,epwalsh/rust-dl-webserver,ml-frameworks,https://github.com/epwalsh/rust-dl-webserver,https://github.com/epwalsh/rust-dl-webserver,,2020-03-25 21:29:16,2021-03-29 18:55:09,2021-03-29 18:55:08,4.0,,,16.0,53.0,,,,,,Example of serving deep learning models in Rust with batched prediction.,3.0,7,False,3,,,,,
76,rust-sbert,cpcdoy/rust-sbert,nlp,https://github.com/cpcdoy/rust-sbert,https://github.com/cpcdoy/rust-sbert,Apache-2.0,2020-04-19 14:27:46,2021-01-21 16:25:05,2020-11-23 16:05:05,1.0,,,15.0,62.0,,,,,,Rust port of sentence-transformers (https://github.com/UKPLab/sentence-transformers).,3.0,7,False,3,,,-1.0,,
