,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,trending,labels,new_addition
50,rust-bert,guillaume-be/rust-bert,nlp,https://github.com/guillaume-be/rust-bert,https://github.com/guillaume-be/rust-bert,,Apache-2.0,2020-01-25 09:40:07,2024-05-21 05:39:45,2024-02-11 17:29:50,200.0,50.0,157.0,2456.0,,,,,,,"Rust native ready-to-use NLP pipelines and transformer-based models (BERT, DistilBERT, GPT2,...).",41.0,18,True,2.0,567.0,567.0,,,
51,chat-ai-desktop,sonnylazuardi/chat-ai-desktop,apps,https://github.com/sonnylazuardi/chat-ai-desktop,https://github.com/sonnylazuardi/chat-ai-desktop,,MIT,2022-12-04 07:57:40,2023-12-23 19:38:01,2023-03-20 10:17:05,187.0,38.0,18.0,1964.0,76.0,2023-03-20 02:13:27,0.5.0,23926.0,1595.0,3.0,Unofficial ChatGPT desktop app for Mac & Windows menubar using Tauri & Rust.,6.0,18,False,3.0,,,,,
52,mistral.rs,EricLBuehler/mistral.rs,ml-frameworks,https://github.com/EricLBuehler/mistral.rs,https://github.com/EricLBuehler/mistral.rs,,MIT,2024-02-26 22:30:06,2024-06-01 09:13:20,2024-05-31 19:10:49,143.0,18.0,94.0,1687.0,2133.0,2024-05-31 15:41:49,0.1.12,,,12.0,Blazingly fast LLM inference.,14.0,18,True,2.0,5.0,5.0,,,True
53,rusty-machine,AtheMathmo/rusty-machine,ml-frameworks,https://github.com/AtheMathmo/rusty-machine,https://github.com/AtheMathmo/rusty-machine,,MIT,2015-11-14 05:55:27,2020-07-10 17:17:37,2020-02-14 18:25:14,149.0,33.0,67.0,1244.0,532.0,,,,,,Machine Learning library for Rust.,20.0,18,False,2.0,446.0,446.0,,,
54,argmin,argmin-rs/argmin,ml-frameworks,https://github.com/argmin-rs/argmin,https://github.com/argmin-rs/argmin,,Apache-2.0,2018-07-22 10:09:33,2024-05-17 04:55:47,2024-03-30 06:52:09,72.0,28.0,91.0,917.0,,2024-02-27 15:15:01,argmin-v0.10.0,,,33.0,Numerical optimization in pure Rust.,38.0,18,True,2.0,436.0,436.0,,,
55,smartcore,smartcorelib/smartcore,ml-frameworks,https://github.com/smartcorelib/smartcore,https://github.com/smartcorelib/smartcore,,Apache-2.0,2019-05-08 05:14:51,2024-05-16 15:40:47,2024-03-04 13:51:27,72.0,66.0,50.0,659.0,,2023-03-20 14:57:05,0.3.1,,,2.0,A comprehensive library for machine learning and numerical computing. The library provides a set of tools for linear..,28.0,18,True,2.0,204.0,204.0,,,
56,nlprule,bminixhofer/nlprule,nlp,https://github.com/bminixhofer/nlprule,https://github.com/bminixhofer/nlprule,,Apache-2.0,2020-07-19 16:24:54,2023-05-23 00:44:59,2022-02-04 11:05:28,41.0,21.0,30.0,577.0,,2021-04-24 09:12:56,0.6.4,55534.0,1322.0,27.0,"A fast, low-resource Natural Language Processing and Text Correction library written in Rust.",7.0,18,False,2.0,61.0,61.0,,,
57,ollama-rs,pepperoni21/ollama-rs,nlp,https://github.com/pepperoni21/ollama-rs,https://github.com/pepperoni21/ollama-rs,,MIT,2023-11-02 16:16:33,2024-05-27 22:58:19,2024-05-12 12:16:57,41.0,5.0,18.0,324.0,145.0,2024-04-17 13:37:06,0.1.9,,,10.0,A Rust library allowing to interact with the Ollama API.,19.0,18,True,2.0,130.0,130.0,,,
58,Raphtory,Pometry/Raphtory,graph,https://github.com/Pometry/Raphtory,https://github.com/Pometry/Raphtory,,GPL-3.0,2017-05-30 13:15:18,2024-05-31 15:08:24,2024-05-31 14:54:07,53.0,82.0,340.0,296.0,1378.0,2024-05-01 16:00:57,0.8.1,242.0,5.0,32.0,"Blazingly fast, vectorised, parallel, and scalable temporal graph engine for Rust, Python and JavaScript.",28.0,18,True,2.0,9.0,9.0,,,
59,sudachi.rs,WorksApplications/sudachi.rs,nlp,https://github.com/WorksApplications/sudachi.rs,https://github.com/WorksApplications/sudachi.rs,,Apache-2.0,2019-11-23 12:04:58,2024-05-30 05:42:37,2024-05-30 05:24:11,30.0,24.0,110.0,276.0,,2023-12-14 01:45:09,0.6.8,179.0,5.0,10.0,Sudachi in Rust and new generation of SudachiPy.,14.0,18,True,2.0,1075.0,1075.0,,,
60,xaynet,xaynetwork/xaynet,ml-frameworks,https://github.com/xaynetwork/xaynet,https://github.com/xaynetwork/xaynet,,Apache-2.0,2019-08-29 08:59:32,2022-08-30 07:37:09,2022-08-30 07:37:08,25.0,5.0,27.0,199.0,2776.0,2021-01-18 12:57:57,0.11.0,,,11.0,Xaynet represents an agnostic Federated Machine Learning framework to build privacy-preserving AI applications.,28.0,18,False,2.0,14.0,14.0,,,
61,graph-rs,sreeise/graph-rs,graph,https://github.com/sreeise/graph-rs-sdk,https://github.com/sreeise/graph-rs-sdk,sreeise/graph-rs-sdk,MIT,2018-12-18 13:17:11,2024-05-31 19:58:31,2024-05-23 07:06:30,23.0,25.0,237.0,99.0,920.0,2024-05-23 06:49:13,2.0.0,,,19.0,Microsoft Graph API client writen in Rust.,15.0,18,False,2.0,51.0,51.0,,,
62,pyrus-cramjam,milesgranger/pyrus-cramjam,ml-frameworks,https://github.com/milesgranger/cramjam,https://github.com/milesgranger/cramjam,milesgranger/cramjam,MIT,2020-03-08 07:46:33,2024-05-03 08:59:26,2024-05-03 07:56:47,5.0,5.0,46.0,81.0,126.0,2024-03-21 11:37:50,2.8.3,,,44.0,"Your go-to for easy access to a plethora of compression algorithms, all neatly bundled in one simple installation.",9.0,18,False,2.0,3173.0,3173.0,,,
63,GraphScope,alibaba/GraphScope,graph,https://github.com/alibaba/GraphScope,https://github.com/alibaba/GraphScope,,Apache-2.0,2020-10-28 03:19:33,2024-05-31 12:05:38,2024-05-31 11:56:54,379.0,355.0,1109.0,3133.0,,2024-03-29 13:46:15,0.27.0,145.0,3.0,31.0,GraphScope: A One-Stop Large-Scale Graph Computing System from Alibaba |.,62.0,17,True,3.0,,,,,
64,weld,weld-project/weld,ml-frameworks,https://github.com/weld-project/weld,https://github.com/weld-project/weld,,BSD-3-Clause,2016-06-13 05:00:24,2022-06-22 01:07:30,2020-04-04 20:50:54,254.0,72.0,96.0,2986.0,615.0,,,,,3.0,High-performance runtime for data analytics applications.,37.0,17,False,2.0,5.0,5.0,,,
65,Rust-CUDA,RDambrosio016/Rust-CUDA,other,https://github.com/Rust-GPU/Rust-CUDA,https://github.com/Rust-GPU/Rust-CUDA,Rust-GPU/Rust-CUDA,Apache-2.0,2021-10-17 23:37:05,2023-11-09 11:25:37,2022-07-01 21:05:30,107.0,53.0,21.0,2923.0,197.0,2022-02-07 20:44:13,0.3,,,2.0,Ecosystem of libraries and tools for writing and executing fast GPU code fully in Rust.,11.0,17,False,1.0,100.0,100.0,,,
66,texture-synthesis,EmbarkStudios/texture-synthesis,image,https://github.com/EmbarkStudios/texture-synthesis,https://github.com/EmbarkStudios/texture-synthesis,,Apache-2.0,2019-08-26 08:06:48,2023-01-22 17:30:52,2023-01-22 17:30:50,78.0,11.0,38.0,1743.0,,2021-03-26 11:26:35,0.8.2,4388.0,75.0,14.0,Example-based texture synthesis written in Rust.,19.0,17,False,2.0,117.0,117.0,,,
67,RustQuant,avhz/RustQuant,apps,https://github.com/avhz/RustQuant,https://github.com/avhz/RustQuant,,Apache-2.0,2022-08-31 10:03:24,2024-05-28 21:00:37,2024-04-25 21:16:48,95.0,25.0,87.0,897.0,,2024-04-24 20:33:02,0.2.4,,,26.0,Rust library for quantitative finance.,33.0,17,True,3.0,14.0,14.0,,,True
68,datafrog,rust-lang/datafrog,data-loading,https://github.com/rust-lang/datafrog,https://github.com/rust-lang/datafrog,,Apache-2.0,2018-05-16 13:37:32,2022-01-20 20:23:52,2022-01-20 20:23:52,44.0,5.0,6.0,784.0,136.0,,,,,,A lightweight Datalog engine in Rust.,13.0,17,False,3.0,5627.0,5627.0,,,
69,mosec,mosecorg/mosec,mlops,https://github.com/mosecorg/mosec,https://github.com/mosecorg/mosec,,Apache-2.0,2021-03-13 04:07:20,2024-06-01 03:00:22,2024-06-01 02:46:15,48.0,13.0,83.0,713.0,,2024-05-21 02:43:49,0.8.5,,,42.0,"A high-performance ML model serving framework, offers dynamic batching and CPU/GPU pipelines to fully exploit your..",10.0,17,True,1.0,44.0,44.0,,,
70,milli,meilisearch/milli,apps,https://github.com/meilisearch/milli,https://github.com/meilisearch/milli,,MIT,2020-05-31 12:21:55,2023-04-04 11:21:46,2023-04-04 11:21:46,82.0,,159.0,464.0,,2023-02-22 15:13:18,0.41.3,,,86.0,Search engine library for Meilisearch.,41.0,17,False,3.0,524.0,524.0,,,
71,rustface,atomashpolskiy/rustface,image,https://github.com/atomashpolskiy/rustface,https://github.com/atomashpolskiy/rustface,,,2017-12-21 20:24:40,2024-04-04 09:23:25,2024-04-04 09:23:22,31.0,4.0,17.0,378.0,183.0,2020-11-02 08:22:28,0.1.6,,,3.0,Face detection library for the Rust programming language.,7.0,17,False,2.0,231.0,231.0,,,
72,faiss-rs,Enet4/faiss-rs,ml-frameworks,https://github.com/Enet4/faiss-rs,https://github.com/Enet4/faiss-rs,,Apache-2.0,2018-01-27 21:50:14,2024-05-20 01:09:02,2024-04-01 16:37:55,31.0,8.0,26.0,185.0,310.0,2023-08-26 11:09:33,0.12.1,,,12.0,Rust language bindings for Faiss.,10.0,17,True,2.0,29.0,29.0,,['binding'],
73,weggli,googleprojectzero/weggli,apps,https://github.com/weggli-rs/weggli,https://github.com/weggli-rs/weggli,weggli-rs/weggli,Apache-2.0,2021-09-30 16:06:12,2024-02-06 19:02:36,2024-01-16 14:12:00,125.0,37.0,28.0,2281.0,,2022-05-31 12:23:06,0.2.4,,,3.0,weggli is a fast and robust semantic search tool for C and C++ codebases. It is designed to help security researchers..,10.0,16,True,3.0,86.0,86.0,,,
74,vega,rajasekarv/vega,analysis,https://github.com/rajasekarv/vega,https://github.com/rajasekarv/vega,,Apache-2.0,2019-10-22 19:13:09,2022-04-18 16:10:37,2021-06-29 20:02:50,206.0,34.0,31.0,2228.0,416.0,,,,,,A new arguably faster implementation of Apache Spark from scratch in Rust.,22.0,16,False,1.0,5.0,5.0,,,
75,aici,microsoft/aici,nlp,https://github.com/microsoft/aici,https://github.com/microsoft/aici,,MIT,2023-09-26 21:33:16,2024-05-28 01:46:50,2024-05-20 22:26:26,72.0,34.0,40.0,1797.0,,2024-04-29 20:31:19,0.2.1,205.0,41.0,12.0,AICI: Prompts as (Wasm) Programs.,8.0,16,True,2.0,,,,,
76,lnx,lnx-search/lnx,apps,https://github.com/lnx-search/lnx,https://github.com/lnx-search/lnx,,MIT,2021-08-13 15:05:22,2024-05-30 21:50:30,2024-05-30 21:50:30,44.0,34.0,40.0,1171.0,510.0,2022-10-05 16:57:07,0.9.0-master,,,18.0,"Insanely fast, Feature-rich searching. lnx is the adaptable, typo tollerant deployment of the tantivy search engine.",8.0,16,True,3.0,,,,,
77,juice,spearow/juice,ml-frameworks,https://github.com/fff-rs/juice,https://github.com/fff-rs/juice,fff-rs/juice,,2017-01-14 21:27:49,2024-04-30 07:32:55,2024-04-25 07:43:59,77.0,31.0,54.0,1094.0,1438.0,,,,,,The Hacker's Machine Learning Engine.,48.0,16,False,2.0,57.0,57.0,,,
78,lingua-rs,pemistahl/lingua-rs,nlp,https://github.com/pemistahl/lingua-rs,https://github.com/pemistahl/lingua-rs,,Apache-2.0,2020-06-17 10:47:30,2024-05-27 16:44:47,2024-04-18 12:19:43,35.0,11.0,42.0,839.0,,2023-12-12 20:45:20,1.6.2,,,17.0,"The most accurate natural language detection library for Rust, suitable for short text and mixed-language text.",6.0,16,True,2.0,178.0,178.0,,,
79,rustlearn,maciejkula/rustlearn,ml-frameworks,https://github.com/maciejkula/rustlearn,https://github.com/maciejkula/rustlearn,,Apache-2.0,2015-12-03 21:48:17,2021-06-07 09:09:59,2020-06-21 02:01:58,53.0,11.0,6.0,611.0,76.0,2018-07-29 21:02:49,0.5.0,,,4.0,Machine learning crate for Rust.,9.0,16,False,2.0,131.0,131.0,,,
