,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,labels,trending,new_addition
49,lindera,lindera-morphology/lindera,nlp,https://github.com/lindera-morphology/lindera,https://github.com/lindera-morphology/lindera,MIT,2020-01-22 14:27:57,2021-01-16 05:55:48,2021-01-16 05:55:46,12.0,5.0,25.0,102.0,142.0,2020-10-15 11:11:47,0.7.1,,,16.0,A morphological analysis library.,6.0,11,True,2,,,,,
50,rsrl,tspooner/rsrl,ml-frameworks,https://github.com/tspooner/rsrl,https://github.com/tspooner/rsrl,MIT,2017-03-29 15:18:20,2020-06-18 11:34:02,2020-06-18 11:31:52,11.0,19.0,15.0,98.0,545.0,,,,,7.0,"A fast, safe and easy to use reinforcement learning framework in Rust.",4.0,11,False,2,,,,,
51,rustling,snipsco/rustling,nlp,https://github.com/snipsco/rustling,https://github.com/snipsco/rustling,,2017-04-10 08:50:12,2019-09-11 16:13:12,2019-09-11 16:12:55,23.0,,2.0,62.0,193.0,2019-09-11 16:13:12,0.9.1,,,12.0,Rust implementation of Duckling.,6.0,11,False,2,,,['binding'],,
52,snips-nlu-ontology,snipsco/snips-nlu-ontology,nlp,https://github.com/snipsco/snips-nlu-ontology,https://github.com/snipsco/snips-nlu-ontology,,2018-02-14 14:19:29,2020-03-08 14:16:49,2019-09-06 13:58:18,30.0,4.0,6.0,55.0,505.0,2019-09-06 13:58:41,0.67.2,,,35.0,Ontology of Snips NLU.,12.0,11,False,2,,,,,
53,finalfusion-rust,finalfusion/finalfusion-rust,nlp,https://github.com/finalfusion/finalfusion-rust,https://github.com/finalfusion/finalfusion-rust,,2019-03-19 18:18:31,2021-03-29 04:58:49,2021-02-22 06:07:48,4.0,6.0,34.0,36.0,219.0,2020-08-15 06:46:38,0.14.0,,,8.0,finalfusion embeddings in Rust.,4.0,11,False,2,,,,,
54,gym-rs,mrrobb/gym-rs,ml-frameworks,https://github.com/MrRobb/gym-rs,https://github.com/MrRobb/gym-rs,MIT,2019-08-20 23:26:06,2021-04-05 05:05:38,2020-07-24 16:19:15,1.0,3.0,6.0,32.0,152.0,2019-10-11 20:43:19,1.0.0,,,1.0,OpenAI Gym bindings for Rust.,3.0,11,False,2,,,['binding'],,True
55,black-jack,milesgranger/black-jack,ml-frameworks,https://github.com/milesgranger/black-jack,https://github.com/milesgranger/black-jack,GPL-3.0,2018-08-18 14:31:48,2021-03-26 04:27:05,2020-11-30 07:12:58,5.0,8.0,42.0,25.0,216.0,2019-04-28 11:10:27,0.1.0,,,2.0,DataFrame / Series data processing in Rust.,2.0,11,False,2,,,,,True
56,RustNN,jackm321/RustNN,ml-frameworks,https://github.com/jackm321/RustNN,https://github.com/jackm321/RustNN,Apache-2.0,2015-03-27 08:34:35,2017-12-21 15:19:41,2015-05-08 02:34:16,30.0,1.0,2.0,300.0,41.0,,,,,,A neural network crate.,2.0,10,False,3,,,,,
57,rust-dataframe,nevi-me/rust-dataframe,data-loading,https://github.com/nevi-me/rust-dataframe,https://github.com/nevi-me/rust-dataframe,Apache-2.0,2019-01-09 02:52:48,2020-10-26 17:05:17,2020-10-26 17:05:04,18.0,12.0,26.0,273.0,119.0,,,,,,"A Rust DataFrame implementation, built on Apache Arrow.",4.0,10,True,3,,,,,
58,fancy-regex,fancy-regex/fancy-regex,nlp,https://github.com/fancy-regex/fancy-regex,https://github.com/fancy-regex/fancy-regex,MIT,2018-10-02 17:55:03,2021-02-15 00:23:37,2021-02-15 00:21:56,13.0,2.0,11.0,204.0,,,,,,,Rust library for regular expressions using fancy features like look-around and backreferences.,12.0,10,True,2,,,,,
59,deeplearn-rs,tedsta/deeplearn-rs,ml-frameworks,https://github.com/tedsta/deeplearn-rs,https://github.com/tedsta/deeplearn-rs,MIT,2015-10-27 02:51:50,2019-10-30 04:18:48,2017-08-20 03:30:59,23.0,1.0,4.0,191.0,78.0,,,,,,Neural networks in Rust.,2.0,10,False,3,,,,,
60,rust-tokenizers,guillaume-be/rust-tokenizers,nlp,https://github.com/guillaume-be/rust-tokenizers,https://github.com/guillaume-be/rust-tokenizers,Apache-2.0,2019-11-09 16:14:11,2021-04-10 08:01:50,2021-04-10 08:01:40,8.0,,5.0,80.0,338.0,,,,,,"Rust-tokenizer offers high-performance tokenizers for modern language models, including WordPiece, Byte-Pair Encoding..",2.0,10,False,2,,,,,
61,alumina,millardjn/alumina,ml-frameworks,https://github.com/millardjn/alumina,https://github.com/millardjn/alumina,MIT,2017-02-06 15:57:08,2020-10-25 09:17:59,2020-10-25 09:17:58,6.0,3.0,,77.0,245.0,,,,,,A deep learning library for rust.,3.0,10,False,3,,,,,
62,torchrs,torchrs/torchrs,ml-frameworks,https://github.com/torchrs/torchrs,https://github.com/torchrs/torchrs,BSD-2-Clause,2017-05-27 21:57:45,2017-07-16 00:27:45,2017-07-16 00:27:34,11.0,1.0,,76.0,532.0,,,,,,Deep Learning in Rust with the PyTorch API.,,10,False,3,,,['binding'],,
63,rust-stemmers,CurrySoftware/rust-stemmers,nlp,https://github.com/CurrySoftware/rust-stemmers,https://github.com/CurrySoftware/rust-stemmers,MIT,2017-02-07 13:00:30,2021-03-03 14:10:30,2019-11-17 13:55:19,11.0,1.0,2.0,61.0,45.0,,,,,,A rust implementation of some popular snowball stemming algorithms.,4.0,10,False,2,,,,,True
64,finalfrontier,finalfusion/finalfrontier,nlp,https://github.com/finalfusion/finalfrontier,https://github.com/finalfusion/finalfrontier,,2018-06-02 08:47:45,2021-03-30 05:02:41,2021-02-08 06:26:07,4.0,2.0,28.0,60.0,278.0,2020-07-27 09:03:36,0.9.4,31.0,1.0,12.0,Context-sensitive word embeddings with subwords. In Rust.,6.0,10,False,2,,,,,
65,ffsvm-rust,ralfbiedert/ffsvm-rust,ml-frameworks,https://github.com/ralfbiedert/ffsvm-rust,https://github.com/ralfbiedert/ffsvm-rust,MIT,2017-12-10 16:52:20,2019-12-20 23:08:07,2019-06-07 10:54:07,6.0,2.0,6.0,41.0,318.0,,,,,,FFSVM stands for Really Fast Support Vector Machine.,,10,False,3,,,,,True
