,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads
41,cogent,JonathanWoollett-Light/cogent,ml-frameworks,https://github.com/JonathanWoollett-Light/cogent,https://github.com/JonathanWoollett-Light/cogent,,2019-09-30 01:15:30,2021-01-21 23:15:25,2021-01-21 21:39:37,,,,23.0,344.0,,,,Simple neural network library for classification written in Rust.,,,2.0,7,False,3.0,,
42,drug,CasperN/drug,ml-frameworks,https://github.com/CasperN/drug,https://github.com/CasperN/drug,MIT,2018-08-12 21:43:02,2018-10-26 16:34:55,2018-10-26 16:34:50,,,1.0,9.0,72.0,,,,Differentiable Rust Graphs (neural network library).,,,,7,False,3.0,,
43,fwumious_wabbit,outbrain/fwumious_wabbit,ml-frameworks,https://github.com/outbrain/fwumious_wabbit,https://github.com/outbrain/fwumious_wabbit,,2020-09-14 12:52:38,2021-02-21 10:01:44,2021-02-18 15:12:40,5.0,2.0,,94.0,,,,,"Fwumious Wabbit, fast on-line machine learning toolkit written in Rust.",,,7.0,6,False,3.0,,
44,prophet,robbepop/prophet,ml-frameworks,https://github.com/Robbepop/prophet,https://github.com/Robbepop/prophet,,2016-09-04 16:28:38,2019-07-31 09:45:36,2018-05-25 09:44:58,1.0,4.0,4.0,39.0,151.0,,,,A simple neural net implementation.,,,2.0,6,False,3.0,,
45,revonet,yurytsoy/revonet,ml-frameworks,https://github.com/yurytsoy/revonet,https://github.com/yurytsoy/revonet,GPL-3.0,2017-05-13 08:37:07,2017-08-20 14:10:04,2017-08-20 14:08:55,1.0,,15.0,14.0,73.0,,,,Rust implementation of real-coded GA for solving optimization problems and training of neural networks.,,,,6,False,3.0,,
46,fann-rs,afck/fann-rs,ml-frameworks,https://github.com/afck/fann-rs,https://github.com/afck/fann-rs,LGPL-3.0,2015-06-26 15:59:52,2018-10-19 20:53:06,2018-10-19 20:52:44,,,1.0,11.0,57.0,,,,Rust wrapper for the Fast Artificial Neural Network library.,,,,6,False,3.0,,
47,batched-fn,epwalsh/batched-fn,ml-frameworks,https://github.com/epwalsh/batched-fn,https://github.com/epwalsh/batched-fn,Apache-2.0,2020-03-20 22:06:11,2021-01-05 18:00:08,2021-01-05 18:00:06,,,,2.0,47.0,,,,Rust middleware for serving deep learning models with batched prediction.,,,2.0,6,False,3.0,,
48,cntk-rs,usamec/cntk-rs,ml-frameworks,https://github.com/usamec/cntk-rs,https://github.com/usamec/cntk-rs,,2017-10-29 16:32:42,2018-03-04 12:55:18,2018-03-04 12:55:13,,1.0,1.0,20.0,41.0,,,,Wrapper around Microsoft CNTK library.,,,,5,False,3.0,,
49,blingfire-rs,reinfer/blingfire-rs,nlp,https://github.com/reinfer/blingfire-rs,https://github.com/reinfer/blingfire-rs,MIT,2019-07-06 13:50:14,2020-06-23 16:31:02,2020-06-23 16:30:54,,,1.0,10.0,19.0,,,,Rust wrapper for the BlingFire tokenization library.,,,2.0,5,False,3.0,,
50,image-ssd,mermoldy/image-ssd,image,https://github.com/mermoldy/image-ssd,https://github.com/mermoldy/image-ssd,MIT,2020-08-30 21:11:13,2020-10-24 17:17:43,2020-10-24 17:17:20,,,,1.0,12.0,,,,A Rust library for object detection via SSD MobileNet.,,,,5,False,3.0,,
51,misspeller,andrew-johnson-4/misspeller,nlp,https://github.com/andrew-johnson-4/misspeller,https://github.com/andrew-johnson-4/misspeller,,2020-08-04 22:25:41,2020-12-27 22:57:27,2020-12-27 22:57:26,1.0,,,1.0,27.0,,,,Take correctly spelled words and return common spelling mistakes.,,,2.0,4,False,3.0,,
52,rusoto,usoto/rusoto,ml-frameworks,,{},,,,,,,,,,,,,,,,,0,False,,,
53,L2,bkkaggle/l2,ml-frameworks,,{},,,,,,,,,,,,,,,,,0,False,,,
