,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,labels,updated_github_id,trending,new_addition
20,linfa,rust-ml/linfa,ml-frameworks,https://github.com/rust-ml/linfa,https://github.com/rust-ml/linfa,,2018-04-05 07:03:30,2021-05-09 23:12:04,2021-05-09 09:46:21,64.0,14.0,28.0,929.0,211.0,2021-04-28 20:49:00,0.4.0,,,5.0,A Rust machine learning framework.,16.0,14,False,2,,,,,,
21,GraphScope,alibaba/GraphScope,graph,https://github.com/alibaba/GraphScope,https://github.com/alibaba/GraphScope,Apache-2.0,2020-10-28 03:19:33,2021-05-10 11:34:21,2021-05-07 09:55:17,76.0,24.0,72.0,706.0,,2021-04-30 15:31:40,0.4.0,,,5.0,GraphScope: A One-Stop Large-Scale Graph Computing System from Alibaba.,13.0,14,True,2,,,,,,
22,opencv-rust,twistedfall/opencv-rust,image,https://github.com/twistedfall/opencv-rust,https://github.com/twistedfall/opencv-rust,MIT,2015-04-14 06:32:54,2021-04-29 17:00:07,2021-04-29 17:00:07,65.0,11.0,179.0,646.0,892.0,,,,,,Rust bindings for OpenCV 3 & 4.,27.0,14,True,2,,,['binding'],,,
23,imageproc,image-rs/imageproc,image,https://github.com/image-rs/imageproc,https://github.com/image-rs/imageproc,MIT,2015-09-27 18:11:32,2021-04-16 03:52:56,2021-04-16 03:52:55,81.0,53.0,91.0,356.0,656.0,,,,,,Image processing operations.,50.0,14,True,2,,,,,,
24,nlprule,bminixhofer/nlprule,nlp,https://github.com/bminixhofer/nlprule,https://github.com/bminixhofer/nlprule,,2020-07-19 16:24:54,2021-05-04 11:29:04,2021-04-24 09:44:53,27.0,12.0,26.0,332.0,,2021-04-24 09:12:56,0.6.4,2146.0,429.0,27.0,"A fast, low-resource Natural Language Processing and Text Correction library written in Rust.",6.0,14,False,1,,,,,,
25,snips-nlu-rs,snipsco/snips-nlu-rs,nlp,https://github.com/snipsco/snips-nlu-rs,https://github.com/snipsco/snips-nlu-rs,,2018-02-21 09:29:02,2020-01-28 16:20:20,2020-01-28 16:19:54,56.0,4.0,15.0,316.0,1583.0,2020-01-28 16:20:20,0.65.6,,,33.0,Snips NLU rust implementation.,21.0,14,False,1,,,,,,
26,statrs,boxtown/statrs,ml-frameworks,https://github.com/boxtown/statrs,https://github.com/boxtown/statrs,MIT,2016-03-11 06:38:50,2021-04-25 19:44:43,2021-04-25 19:44:43,35.0,20.0,69.0,246.0,566.0,,,,,,Statistical computation library for Rust.,21.0,14,True,2,,,,,,
27,graphlib,purpleprotocol/graphlib,graph,https://github.com/purpleprotocol/graphlib,https://github.com/purpleprotocol/graphlib,MIT,2019-03-14 12:52:32,2021-03-14 20:25:32,2020-07-01 09:05:33,11.0,5.0,21.0,150.0,167.0,2020-04-14 14:23:06,0.6.2,,,18.0,Simple but powerful graph library for Rust.,11.0,14,True,2,,,,,,
28,rusty-machine,AtheMathmo/rusty-machine,ml-frameworks,https://github.com/AtheMathmo/rusty-machine,https://github.com/AtheMathmo/rusty-machine,MIT,2015-11-14 05:55:27,2020-07-10 17:17:37,2020-02-14 18:25:14,142.0,33.0,66.0,1165.0,532.0,,,,,,Machine Learning library for Rust.,20.0,13,False,2,,,,,,
29,juice,spearow/juice,ml-frameworks,https://github.com/spearow/juice,https://github.com/spearow/juice,,2017-01-14 21:27:49,2021-04-27 14:18:51,2021-04-27 09:54:48,57.0,22.0,47.0,779.0,1386.0,,,,,,The Hacker's Machine Learning Engine.,42.0,13,False,2,,,,,,
30,rust-bert,guillaume-be/rust-bert,nlp,https://github.com/guillaume-be/rust-bert,https://github.com/guillaume-be/rust-bert,Apache-2.0,2020-01-25 09:40:07,2021-05-09 08:39:03,2021-05-09 08:39:03,39.0,9.0,35.0,573.0,775.0,,,,,,"Rust native ready-to-use NLP pipelines and transformer-based models (BERT, DistilBERT, GPT2,...).",10.0,13,True,2,,,,,,
31,rustlearn,maciejkula/rustlearn,ml-frameworks,https://github.com/maciejkula/rustlearn,https://github.com/maciejkula/rustlearn,Apache-2.0,2015-12-03 21:48:17,2020-06-21 02:01:59,2020-06-21 02:01:58,43.0,8.0,4.0,486.0,76.0,2018-07-29 21:02:49,0.5.0,,,4.0,Machine learning crate for Rust.,9.0,13,True,2,,,,,,
32,cleora,Synerise/cleora,ml-frameworks,https://github.com/Synerise/cleora,https://github.com/Synerise/cleora,,2020-11-05 17:16:06,2021-03-22 12:52:33,2021-03-22 12:52:33,19.0,4.0,6.0,321.0,42.0,2020-12-23 18:07:46,1.1.0,267.0,44.0,3.0,"Cleora AI is a general-purpose model for efficient, scalable learning of stable and inductive entity embeddings for..",7.0,13,False,2,,,,,,
33,rust-autograd,raskr/rust-autograd,ml-frameworks,https://github.com/raskr/rust-autograd,https://github.com/raskr/rust-autograd,MIT,2017-09-05 14:42:39,2021-04-16 11:40:12,2021-04-16 11:40:12,21.0,1.0,22.0,289.0,345.0,,,,,,Tensors and differentiable operations (like TensorFlow) in Rust.,11.0,13,True,2,,,,,,
34,rustface,atomashpolskiy/rustface,image,https://github.com/atomashpolskiy/rustface,https://github.com/atomashpolskiy/rustface,,2017-12-21 20:24:40,2021-03-27 21:12:41,2021-03-27 21:12:41,22.0,5.0,14.0,274.0,168.0,2020-11-02 08:22:28,0.1.6,,,3.0,Face detection library for the Rust programming language.,6.0,13,False,3,,,,,,
35,granne,granne/granne,ml-frameworks,https://github.com/granne/granne,https://github.com/granne/granne,MIT,2019-12-06 09:12:47,2020-09-29 10:06:47,2020-09-29 10:05:51,20.0,4.0,8.0,235.0,200.0,2020-03-20 07:05:06,0.5.1,,,2.0,Graph-based Approximate Nearest Neighbor Search.,5.0,13,True,2,,,,,,
36,nnsplit,bminixhofer/nnsplit,nlp,https://github.com/bminixhofer/nnsplit,https://github.com/bminixhofer/nnsplit,MIT,2020-01-31 10:34:17,2021-05-09 18:45:28,2021-04-15 12:06:36,11.0,7.0,12.0,162.0,,2021-03-16 17:04:05,0.5.7,,,12.0,"Semantic text segmentation. For sentence boundary detection, compound splitting and more.",4.0,13,True,2,2.0,2.0,,,,
37,azure-sdk-for-rust,Azure/azure-sdk-for-rust,ml-frameworks,https://github.com/Azure/azure-sdk-for-rust,https://github.com/Azure/azure-sdk-for-rust,MIT,2020-09-15 18:05:06,2021-05-10 07:28:00,2021-05-10 07:28:00,41.0,39.0,69.0,102.0,938.0,,,,,,This repository is for active development of the *unofficial* Azure SDK for Rust. This repository is *not* supported..,51.0,13,True,2,,,['binding'],,,
38,gap_statistic,milesgranger/gap_statistic,ml-frameworks,https://github.com/milesgranger/gap_statistic,https://github.com/milesgranger/gap_statistic,,2016-04-25 11:22:18,2021-03-09 19:49:09,2021-03-09 19:49:09,29.0,1.0,27.0,89.0,131.0,2020-04-20 04:05:53,2.0.1,290.0,8.0,13.0,Dynamically get the suggested clusters in the data for unsupervised learning.,4.0,13,False,2,18.0,18.0,,,,
39,leaf,autumnai/leaf,ml-frameworks,https://github.com/autumnai/leaf,https://github.com/autumnai/leaf,,2015-10-26 08:20:56,2018-01-14 18:40:05,2018-01-14 18:40:04,264.0,26.0,24.0,5468.0,164.0,,,,,,Open Machine Intelligence Framework for Hackers. (GPU/CPU).,15.0,12,False,2,,,,,,
40,evcxr,google/evcxr,ml-frameworks,https://github.com/google/evcxr,https://github.com/google/evcxr,Apache-2.0,2018-09-25 10:19:22,2021-05-08 01:08:18,2021-05-08 01:08:18,112.0,44.0,72.0,2455.0,,,,,,,,27.0,12,False,2,,,,,,
41,fst,BurntSushi/fst,data-loading,https://github.com/BurntSushi/fst,https://github.com/BurntSushi/fst,,2015-09-05 00:25:46,2021-05-08 16:46:57,2021-05-08 16:46:46,71.0,8.0,50.0,1091.0,252.0,,,,,,Represent large sets and maps compactly with finite state transducers.,25.0,12,False,3,,,,,1.0,
42,tch-rs,LaurentMazare/tch-rs,ml-frameworks,https://github.com/LaurentMazare/tch-rs,https://github.com/LaurentMazare/tch-rs,,2019-02-16 21:08:44,2021-05-08 12:03:55,2021-05-08 12:03:49,94.0,27.0,192.0,1049.0,559.0,,,,,,Rust bindings for the C++ api of PyTorch.,32.0,12,False,2,,,['binding'],,,
43,aho-corasick,BurntSushi/aho-corasick,nlp,https://github.com/BurntSushi/aho-corasick,https://github.com/BurntSushi/aho-corasick,,2015-06-11 23:02:10,2021-05-06 14:49:21,2021-05-06 14:49:21,51.0,3.0,35.0,447.0,180.0,,,,,,A fast implementation of Aho-Corasick in Rust.,23.0,12,False,2,,,,,,
44,lingua-rs,pemistahl/lingua-rs,nlp,https://github.com/pemistahl/lingua-rs,https://github.com/pemistahl/lingua-rs,Apache-2.0,2020-06-17 10:47:30,2021-05-08 16:24:05,2021-05-08 16:00:29,5.0,5.0,8.0,284.0,,2021-05-08 16:26:04,1.2.1,,,7.0,"The most accurate natural language detection library in the Rust ecosystem, suitable for long and short text alike.",2.0,12,True,2,,,,,,
45,sprs,vbarrielle/sprs,ml-frameworks,https://github.com/vbarrielle/sprs,https://github.com/vbarrielle/sprs,,2015-05-17 19:01:01,2021-05-09 22:32:19,2021-05-09 22:32:19,25.0,36.0,96.0,241.0,1023.0,,,,,,sparse linear algebra library for rust.,21.0,12,False,2,,,,,,
46,graph-rs,sreeise/graph-rs,graph,https://github.com/sreeise/graph-rs,https://github.com/sreeise/graph-rs,MIT,2018-12-18 13:17:11,2021-05-04 10:28:56,2021-04-25 04:56:38,5.0,32.0,157.0,18.0,513.0,2021-01-19 08:16:15,0.0.2,,,2.0,Graph API client writen in Rust.,2.0,12,False,3,,,,,,
47,argmin,argmin-rs/argmin,ml-frameworks,https://github.com/argmin-rs/argmin,https://github.com/argmin-rs/argmin,,2018-07-22 10:09:33,2021-05-08 06:42:37,2021-05-08 06:42:37,28.0,13.0,24.0,281.0,794.0,,,,,,Mathematical optimization in pure Rust.,13.0,11,False,2,,,,,,True
48,Peroxide,Axect/Peroxide,ml-frameworks,https://github.com/Axect/Peroxide,https://github.com/Axect/Peroxide,,2018-04-20 18:38:06,2021-05-05 10:33:02,2021-03-31 03:41:32,12.0,7.0,14.0,213.0,1165.0,,,,,,"Rust numeric library with R, MATLAB & Python syntax.",9.0,11,False,2,,,,,,
49,rs-natural,christophertrml/rs-natural,nlp,https://github.com/christophertrml/rs-natural,https://github.com/christophertrml/rs-natural,MIT,2014-07-27 22:26:18,2020-10-17 18:22:37,2020-02-13 07:12:11,27.0,2.0,7.0,191.0,97.0,,,,,,Natural Language Processing for Rust.,14.0,11,False,2,,,,,,
50,cv,rust-cv/cv,image,https://github.com/rust-cv/cv,https://github.com/rust-cv/cv,MIT,2020-04-04 17:46:04,2021-03-15 07:00:22,2021-03-15 07:00:17,9.0,24.0,2.0,114.0,562.0,,,,,,"Rust CV mono-repo. Contains pure-Rust dependencies which attempt to encapsulate the capability of OpenCV, OpenMVG, and..",4.0,11,True,3,,,,,,
51,rustling-ontology,snipsco/rustling-ontology,nlp,https://github.com/snipsco/rustling-ontology,https://github.com/snipsco/rustling-ontology,,2017-04-24 15:08:48,2020-10-07 11:29:12,2020-10-07 11:29:08,47.0,28.0,26.0,112.0,1053.0,2020-01-23 14:58:51,0.19.3,,,49.0,Ontology for rustling.,19.0,11,False,2,,,,,,
52,lindera,lindera-morphology/lindera,nlp,https://github.com/lindera-morphology/lindera,https://github.com/lindera-morphology/lindera,MIT,2020-01-22 14:27:57,2021-01-16 05:55:48,2021-01-16 05:55:46,12.0,5.0,25.0,104.0,142.0,2020-10-15 11:11:47,0.7.1,,,16.0,A morphological analysis library.,6.0,11,True,2,,,,,,
53,rsrl,tspooner/rsrl,ml-frameworks,https://github.com/tspooner/rsrl,https://github.com/tspooner/rsrl,MIT,2017-03-29 15:18:20,2020-06-18 11:34:02,2020-06-18 11:31:52,11.0,19.0,15.0,99.0,545.0,,,,,7.0,"A fast, safe and easy to use reinforcement learning framework in Rust.",4.0,11,False,2,,,,,,
54,rustling,snipsco/rustling,nlp,https://github.com/snipsco/rustling,https://github.com/snipsco/rustling,,2017-04-10 08:50:12,2019-09-11 16:13:12,2019-09-11 16:12:55,23.0,,2.0,63.0,193.0,2019-09-11 16:13:12,0.9.1,,,12.0,Rust implementation of Duckling.,6.0,11,False,2,,,['binding'],,,
55,finalfrontier,finalfusion/finalfrontier,nlp,https://github.com/finalfusion/finalfrontier,https://github.com/finalfusion/finalfrontier,,2018-06-02 08:47:45,2021-05-06 15:33:19,2021-05-06 15:31:46,4.0,2.0,28.0,60.0,281.0,2020-07-27 09:03:36,0.9.4,31.0,0.0,12.0,Context-sensitive word embeddings with subwords. In Rust.,6.0,11,False,2,,,,,,
56,snips-nlu-ontology,snipsco/snips-nlu-ontology,nlp,https://github.com/snipsco/snips-nlu-ontology,https://github.com/snipsco/snips-nlu-ontology,,2018-02-14 14:19:29,2020-03-08 14:16:49,2019-09-06 13:58:18,30.0,4.0,6.0,55.0,505.0,2019-09-06 13:58:41,0.67.2,,,35.0,Ontology of Snips NLU.,12.0,11,False,2,,,,,,
57,finalfusion-rust,finalfusion/finalfusion-rust,nlp,https://github.com/finalfusion/finalfusion-rust,https://github.com/finalfusion/finalfusion-rust,,2019-03-19 18:18:31,2021-04-29 16:07:12,2021-02-22 06:07:48,4.0,6.0,34.0,36.0,219.0,2020-08-15 06:46:38,0.14.0,,,8.0,finalfusion embeddings in Rust.,4.0,11,False,2,,,,,,
58,gym-rs,mrrobb/gym-rs,ml-frameworks,https://github.com/MrRobb/gym-rs,https://github.com/MrRobb/gym-rs,MIT,2019-08-20 23:26:06,2021-05-10 04:57:40,2020-07-24 16:19:15,1.0,3.0,6.0,32.0,152.0,2019-10-11 20:43:19,1.0.0,,,1.0,OpenAI Gym bindings for Rust.,3.0,11,False,2,,,['binding'],,,
59,black-jack,milesgranger/black-jack,ml-frameworks,https://github.com/milesgranger/black-jack,https://github.com/milesgranger/black-jack,GPL-3.0,2018-08-18 14:31:48,2021-04-29 19:40:12,2021-04-29 19:39:04,5.0,8.0,42.0,26.0,217.0,2019-04-28 11:10:27,0.1.0,,,2.0,DataFrame / Series data processing in Rust.,2.0,11,False,2,,,,,,
60,pyrus-cramjam,milesgranger/pyrus-cramjam,ml-frameworks,https://github.com/milesgranger/pyrus-cramjam,https://github.com/milesgranger/pyrus-cramjam,MIT,2020-03-08 07:46:33,2021-05-09 18:38:53,2021-05-09 18:38:53,3.0,4.0,14.0,20.0,39.0,2021-04-14 21:07:24,2.3.0,,,15.0,Thin Python wrapper to de/compression algorithms in Rust - lightweight & no dependencies.,2.0,11,False,2,,,,,,
61,RustNN,jackm321/RustNN,ml-frameworks,https://github.com/jackm321/RustNN,https://github.com/jackm321/RustNN,Apache-2.0,2015-03-27 08:34:35,2017-12-21 15:19:41,2015-05-08 02:34:16,30.0,1.0,2.0,299.0,41.0,,,,,,A neural network crate.,2.0,10,False,3,,,,,,
62,rust-dataframe,nevi-me/rust-dataframe,data-loading,https://github.com/nevi-me/rust-dataframe,https://github.com/nevi-me/rust-dataframe,Apache-2.0,2019-01-09 02:52:48,2020-10-26 17:05:17,2020-10-26 17:05:04,20.0,12.0,26.0,272.0,119.0,,,,,,"A Rust DataFrame implementation, built on Apache Arrow.",4.0,10,True,3,,,,,,
63,fancy-regex,fancy-regex/fancy-regex,nlp,https://github.com/fancy-regex/fancy-regex,https://github.com/fancy-regex/fancy-regex,MIT,2018-10-02 17:55:03,2021-05-06 06:47:18,2021-05-06 06:47:15,12.0,2.0,11.0,207.0,,,,,,,Rust library for regular expressions using fancy features like look-around and backreferences.,12.0,10,True,2,,,,,1.0,
64,deeplearn-rs,tedsta/deeplearn-rs,ml-frameworks,https://github.com/tedsta/deeplearn-rs,https://github.com/tedsta/deeplearn-rs,MIT,2015-10-27 02:51:50,2019-10-30 04:18:48,2017-08-20 03:30:59,23.0,1.0,4.0,191.0,78.0,,,,,,Neural networks in Rust.,2.0,10,False,3,,,,,,
65,L2,bilal2vec/L2,ml-frameworks,https://github.com/bilal2vec/L2,https://github.com/bilal2vec/L2,MIT,2019-06-22 20:37:19,2021-02-04 03:11:05,2021-02-04 03:11:00,14.0,,1.0,128.0,164.0,2019-09-04 00:34:56,1.0,,,1.0,"l2 is a fast, Pytorch-style Tensor+Autograd library written in Rust.",,10,True,3,,,,,,
66,orkhon,vertexclique/orkhon,ml-frameworks,https://github.com/vertexclique/orkhon,https://github.com/vertexclique/orkhon,MIT,2019-05-18 23:24:53,2021-02-01 15:23:47,2021-02-01 15:23:39,3.0,4.0,3.0,98.0,102.0,2020-11-17 23:04:49,0.2.0,,,1.0,Orkhon: ML Inference Framework and Server Runtime.,,10,False,3,,,,,,
67,rust-tokenizers,guillaume-be/rust-tokenizers,nlp,https://github.com/guillaume-be/rust-tokenizers,https://github.com/guillaume-be/rust-tokenizers,Apache-2.0,2019-11-09 16:14:11,2021-04-10 08:01:50,2021-04-10 08:01:40,8.0,1.0,5.0,82.0,338.0,,,,,,"Rust-tokenizer offers high-performance tokenizers for modern language models, including WordPiece, Byte-Pair Encoding..",2.0,10,False,2,,,,,,
68,alumina,millardjn/alumina,ml-frameworks,https://github.com/millardjn/alumina,https://github.com/millardjn/alumina,MIT,2017-02-06 15:57:08,2020-10-25 09:17:59,2020-10-25 09:17:58,6.0,3.0,,77.0,245.0,,,,,,A deep learning library for rust.,3.0,10,False,3,,,,,,
69,torchrs,torchrs/torchrs,ml-frameworks,https://github.com/torchrs/torchrs,https://github.com/torchrs/torchrs,BSD-2-Clause,2017-05-27 21:57:45,2017-07-16 00:27:45,2017-07-16 00:27:34,11.0,1.0,,76.0,532.0,,,,,,Deep Learning in Rust with the PyTorch API.,,10,False,3,,,['binding'],,,
70,rust-stemmers,CurrySoftware/rust-stemmers,nlp,https://github.com/CurrySoftware/rust-stemmers,https://github.com/CurrySoftware/rust-stemmers,MIT,2017-02-07 13:00:30,2021-04-20 15:45:15,2019-11-17 13:55:19,11.0,1.0,2.0,61.0,45.0,,,,,,A rust implementation of some popular snowball stemming algorithms.,4.0,10,False,2,,,,,,
71,ffsvm-rust,ralfbiedert/ffsvm-rust,ml-frameworks,https://github.com/ralfbiedert/ffsvm-rust,https://github.com/ralfbiedert/ffsvm-rust,MIT,2017-12-10 16:52:20,2019-12-20 23:08:07,2019-06-07 10:54:07,6.0,2.0,6.0,43.0,318.0,,,,,,FFSVM stands for Really Fast Support Vector Machine.,,10,False,3,,,,,,
72,faiss-rs,Enet4/faiss-rs,ml-frameworks,https://github.com/Enet4/faiss-rs,https://github.com/Enet4/faiss-rs,,2018-01-27 21:50:14,2021-05-06 17:33:33,2021-04-21 13:50:06,7.0,4.0,8.0,42.0,147.0,2020-09-21 21:26:10,0.9.0,,,8.0,Rust language bindings for Faiss.,5.0,10,False,3,,,['binding'],,,
73,levenshtein-automata,tantivy-search/levenshtein-automata,nlp,https://github.com/tantivy-search/levenshtein-automata,https://github.com/tantivy-search/levenshtein-automata,MIT,2017-11-16 00:26:08,2021-04-29 19:10:41,2020-03-30 00:36:02,6.0,1.0,4.0,32.0,22.0,2020-03-30 00:38:52,0.2.0,,,1.0,,,10,False,2,,,,,,
74,rurel,milanboers/rurel,ml-frameworks,https://github.com/milanboers/rurel,https://github.com/milanboers/rurel,MPL-2.0,2017-03-05 09:40:12,2021-03-27 09:39:28,2021-03-27 09:34:51,6.0,1.0,1.0,29.0,33.0,,,,,,"Flexible, reusable reinforcement learning (Q learning) implementation in Rust.",3.0,10,False,3,,,,,,
75,deepfrog,proycon/deepfrog,nlp,https://github.com/proycon/deepfrog,https://github.com/proycon/deepfrog,GPL-3.0,2020-02-12 12:28:13,2021-04-18 16:58:48,2021-04-18 16:58:45,1.0,5.0,3.0,14.0,128.0,2021-04-11 13:32:18,0.2.1,,,2.0,An NLP-suite powered by deep learning.,,10,False,2,,,,,,
