,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,labels,trending
147,rustfst,Garvys/rustfst,nlp,https://github.com/Garvys/rustfst,https://github.com/Garvys/rustfst,,,2018-09-13 21:21:45,2022-03-23 17:06:34,2022-02-24 16:06:29,9.0,13.0,17.0,94.0,,2020-02-04 13:53:05,rustfst-v0.5.0,,,1.0,"Rust re-implementation of OpenFST - library for constructing, combining, optimizing, and searching weighted finite-..",10.0,7,False,3,,,,
148,hnsw,rust-cv/hnsw,ml-frameworks,https://github.com/rust-cv/hnsw,https://github.com/rust-cv/hnsw,,MIT,2019-07-21 03:52:31,2021-07-19 03:08:21,2021-07-19 03:08:17,2.0,13.0,9.0,80.0,147.0,,,,,,HNSW ANN from the paper Efficient and robust approximate nearest neighbor search using Hierarchical Navigable Small..,2.0,7,False,3,,,,
149,word2vec-rs,mklf/word2vec-rs,nlp,https://github.com/mklf/word2vec-rs,https://github.com/mklf/word2vec-rs,,,2016-11-11 16:06:12,2022-04-22 18:11:33,2021-08-31 06:02:55,9.0,1.0,,38.0,20.0,,,,,,pure rust implemention of word2vec.,4.0,7,False,3,,,,
150,syntaxdot,tensordot/syntaxdot,nlp,https://github.com/tensordot/syntaxdot,https://github.com/tensordot/syntaxdot,,,2020-10-07 17:49:05,2022-04-23 07:55:28,2022-04-23 07:55:28,1.0,5.0,13.0,36.0,,2021-08-16 07:03:01,0.4.1,22.0,1.0,11.0,"Neural syntax annotator, supporting sequence labeling, lemmatization, and dependency parsing.",4.0,7,False,3,,,,
151,revonet,yurytsoy/revonet,ml-frameworks,https://github.com/yurytsoy/revonet,https://github.com/yurytsoy/revonet,,GPL-3.0,2017-05-13 08:37:07,2017-08-20 14:10:04,2017-08-20 14:08:55,3.0,,15.0,18.0,73.0,,,,,,Rust implementation of real-coded GA for solving optimization problems and training of neural networks.,,7,False,3,,,,
152,craftml-rs,tomtung/craftml-rs,ml-frameworks,https://github.com/tomtung/craftml-rs,https://github.com/tomtung/craftml-rs,,MIT,2018-10-05 15:05:19,2019-03-19 03:46:15,2019-03-19 03:46:03,2.0,,2.0,14.0,26.0,,,,,,"A Rust implementation of CRAFTML, an Efficient Clustering-based Random Forest for Extreme Multi-label Learning.",,7,False,3,,,,
153,spm_precompiled,huggingface/spm_precompiled,nlp,https://github.com/huggingface/spm_precompiled,https://github.com/huggingface/spm_precompiled,,Apache-2.0,2020-09-15 19:11:01,2021-07-19 17:50:07,2021-07-19 17:49:44,5.0,,,13.0,8.0,,,,,,Highly specialized crate to parse and use `google/sentencepiece` 's precompiled_charsmap in `tokenizers`.,,7,False,3,,,,
154,ngt-rs,lerouxrgd/ngt-rs,ml-frameworks,https://github.com/lerouxrgd/ngt-rs,https://github.com/lerouxrgd/ngt-rs,,Apache-2.0,2020-04-26 21:45:05,2021-11-19 20:43:28,2021-11-19 20:40:17,1.0,,2.0,13.0,30.0,,,,,,Rust wrappers for NGT approximate nearest neighbor search.,,7,False,3,,,['binding'],
155,h2o-kubernetes,h2oai/h2o-kubernetes,mlops,https://github.com/h2oai/h2o-kubernetes,https://github.com/h2oai/h2o-kubernetes,,Apache-2.0,2020-08-04 16:47:37,2021-02-24 19:02:26,2021-02-09 11:49:12,4.0,3.0,12.0,13.0,69.0,2021-02-09 11:05:13,operator-0.1.0,33.0,2.0,1.0,H2O Open Source Kubernetes operator and a command-line tool to ease deployment (and undeployment) of H2O open-source..,4.0,7,False,1,,,,
156,drug,CasperN/drug,ml-frameworks,https://github.com/CasperN/drug,https://github.com/CasperN/drug,,MIT,2018-08-12 21:43:02,2018-10-26 16:34:55,2018-10-26 16:34:50,,,1.0,12.0,72.0,,,,,,Differentiable Rust Graphs (neural network library).,,7,False,3,,,,
