,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,trending,labels
77,orkhon,vertexclique/orkhon,ml-frameworks,https://github.com/vertexclique/orkhon,https://github.com/vertexclique/orkhon,MIT,2019-05-18 23:24:53,2021-02-01 15:23:47,2021-02-01 15:23:39,3.0,4.0,3.0,105.0,102.0,Orkhon: ML Inference Framework and Server Runtime.,,,,10,True,3,,2020-11-17 23:04:49,0.2.0,,,1.0,,
78,rust-tokenizers,guillaume-be/rust-tokenizers,nlp,https://github.com/guillaume-be/rust-tokenizers,https://github.com/guillaume-be/rust-tokenizers,Apache-2.0,2019-11-09 16:14:11,2021-09-15 16:46:12,2021-09-15 16:46:12,10.0,1.0,5.0,100.0,372.0,"Rust-tokenizer offers high-performance tokenizers for modern language models, including WordPiece, Byte-Pair Encoding..",,,2.0,10,True,2,,,,,,,,
79,onnxruntime-rs,nbigaouette/onnxruntime-rs,ml-frameworks,https://github.com/nbigaouette/onnxruntime-rs,https://github.com/nbigaouette/onnxruntime-rs,,2020-08-04 03:04:15,2021-08-10 07:05:33,2021-08-04 01:28:04,25.0,22.0,16.0,87.0,443.0,Rust wrapper for Microsoft's ONNX Runtime (version 1.8).,,,7.0,10,False,3,,,,,,,,['binding']
80,torchrs,torchrs/torchrs,ml-frameworks,https://github.com/torchrs/torchrs,https://github.com/torchrs/torchrs,BSD-2-Clause,2017-05-27 21:57:45,2017-07-16 00:27:45,2017-07-16 00:27:34,11.0,1.0,,74.0,532.0,Deep Learning in Rust with the PyTorch API.,,,,10,False,3,,,,,,,,['binding']
81,finalfrontier,finalfusion/finalfrontier,nlp,https://github.com/finalfusion/finalfrontier,https://github.com/finalfusion/finalfrontier,,2018-06-02 08:47:45,2021-08-02 04:47:29,2021-05-14 09:44:38,4.0,2.0,28.0,64.0,283.0,Context-sensitive word embeddings with subwords. In Rust.,,,6.0,10,False,2,,2020-07-27 09:03:36,0.9.4,39.0,1.0,12.0,,
82,ffsvm-rust,ralfbiedert/ffsvm-rust,ml-frameworks,https://github.com/ralfbiedert/ffsvm-rust,https://github.com/ralfbiedert/ffsvm-rust,MIT,2017-12-10 16:52:20,2019-12-20 23:08:07,2019-06-07 10:54:07,6.0,2.0,6.0,43.0,318.0,FFSVM stands for Really Fast Support Vector Machine.,,,,10,False,3,,,,,,,,
83,deepfrog,proycon/deepfrog,nlp,https://github.com/proycon/deepfrog,https://github.com/proycon/deepfrog,GPL-3.0,2020-02-12 12:28:13,2021-07-14 17:51:10,2021-04-18 16:58:45,1.0,5.0,3.0,15.0,128.0,An NLP-suite powered by deep learning.,,,,10,False,2,,2021-04-11 13:32:18,0.2.1,,,2.0,,
84,neuronika,neuronika/neuronika,ml-frameworks,https://github.com/neuronika/neuronika,https://github.com/neuronika/neuronika,MPL-2.0,2021-02-13 17:04:39,2021-09-11 14:11:19,2021-09-11 14:11:17,17.0,4.0,24.0,493.0,,Tensors and dynamic neural networks in pure Rust.,,,2.0,9,False,3,,,,,,,,
85,instant-distance,InstantDomain/instant-distance,ml-frameworks,https://github.com/InstantDomain/instant-distance,https://github.com/InstantDomain/instant-distance,Apache-2.0,2020-12-14 15:15:27,2021-09-15 14:35:04,2021-09-15 14:34:59,5.0,,2.0,106.0,,"Fast approximate nearest neighbor searching in Rust, based on HNSW index.",,,6.0,9,False,3,,,,,,,2.0,
86,alumina,millardjn/alumina,ml-frameworks,https://github.com/millardjn/alumina,https://github.com/millardjn/alumina,,2017-02-06 15:57:08,2021-08-08 04:37:14,2021-08-08 04:24:48,7.0,3.0,,86.0,245.0,A deep learning library for rust.,,,,9,False,3,,,,,,,,
