,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,new_addition,trending,labels
64,rustface,atomashpolskiy/rustface,image,https://github.com/atomashpolskiy/rustface,https://github.com/atomashpolskiy/rustface,,,2017-12-21 20:24:40,2021-11-10 17:08:18,2021-11-10 17:07:53,28.0,4.0,17.0,337.0,176.0,2020-11-02 08:22:28,0.1.6,,,3.0,Face detection library for the Rust programming language.,220.0,220.0,7.0,16,False,3.0,,,
65,granne,granne/granne,ml-frameworks,https://github.com/granne/granne,https://github.com/granne/granne,,MIT,2019-12-06 09:12:47,2023-02-13 14:53:00,2021-05-19 16:09:39,25.0,7.0,9.0,291.0,203.0,2021-06-06 12:58:39,0.5.2,,,3.0,Graph-based Approximate Nearest Neighbor Search.,16.0,16.0,6.0,16,False,2.0,,,
66,onnxruntime-rs,nbigaouette/onnxruntime-rs,ml-frameworks,https://github.com/nbigaouette/onnxruntime-rs,https://github.com/nbigaouette/onnxruntime-rs,,Apache-2.0,2020-08-04 03:04:15,2023-04-10 12:15:24,2022-07-19 00:34:22,63.0,30.0,20.0,215.0,447.0,,,,,,Rust wrapper for Microsoft's ONNX Runtime (version 1.8).,103.0,103.0,9.0,16,True,2.0,,,['binding']
67,rust-tokenizers,guillaume-be/rust-tokenizers,nlp,https://github.com/guillaume-be/rust-tokenizers,https://github.com/guillaume-be/rust-tokenizers,,Apache-2.0,2019-11-09 16:14:11,2023-04-15 10:37:37,2023-04-15 10:37:35,17.0,1.0,6.0,204.0,435.0,,,,,,"Rust-tokenizer offers high-performance tokenizers for modern language models, including WordPiece, Byte-Pair Encoding..",353.0,353.0,5.0,16,True,2.0,,,
68,gap_statistic,milesgranger/gap_statistic,ml-frameworks,https://github.com/milesgranger/gap_statistic,https://github.com/milesgranger/gap_statistic,,Unlicense,2016-04-25 11:22:18,2023-01-21 10:38:59,2023-01-21 10:35:45,44.0,3.0,33.0,178.0,134.0,2023-01-21 10:38:59,2.0.2,370.0,6.0,14.0,Dynamically get the suggested clusters in the data for unsupervised learning.,32.0,32.0,5.0,16,True,2.0,,,
69,kdtree-rs,mrhooray/kdtree-rs,ml-frameworks,https://github.com/mrhooray/kdtree-rs,https://github.com/mrhooray/kdtree-rs,,Apache-2.0,2015-07-29 05:20:17,2023-04-17 23:24:53,2022-12-17 01:03:34,37.0,1.0,18.0,169.0,94.0,,,,,,K-dimensional tree in Rust for fast geospatial indexing and lookup.,449.0,449.0,15.0,16,True,2.0,,,
70,faiss-rs,Enet4/faiss-rs,ml-frameworks,https://github.com/Enet4/faiss-rs,https://github.com/Enet4/faiss-rs,,Apache-2.0,2018-01-27 21:50:14,2023-04-30 11:12:16,2023-04-30 10:34:52,17.0,4.0,24.0,115.0,272.0,2023-01-29 13:38:38,0.12.0,,,11.0,Rust language bindings for Faiss.,14.0,14.0,7.0,16,True,2.0,,,['binding']
71,graph-rs,sreeise/graph-rs,graph,https://github.com/sreeise/graph-rs-sdk,https://github.com/sreeise/graph-rs-sdk,sreeise/graph-rs-sdk,MIT,2018-12-18 13:17:11,2023-05-01 07:36:07,2023-04-14 09:32:49,17.0,13.0,224.0,73.0,779.0,2023-04-15 21:33:59,1.1.1,,,14.0,Microsoft Graph API client writen in Rust.,10.0,10.0,10.0,16,False,2.0,,,
72,tch-rs,LaurentMazare/tch-rs,ml-frameworks,https://github.com/LaurentMazare/tch-rs,https://github.com/LaurentMazare/tch-rs,,Apache-2.0,2019-02-16 21:08:44,2023-04-30 12:15:06,2023-04-30 12:15:06,216.0,98.0,345.0,2750.0,,,,750.0,57.0,1.0,Rust bindings for the C++ api of PyTorch.,,,62.0,15,True,2.0,,,['binding']
73,lnx,lnx-search/lnx,apps,https://github.com/lnx-search/lnx,https://github.com/lnx-search/lnx,,MIT,2021-08-13 15:05:22,2023-04-13 20:15:21,2023-04-13 20:15:18,33.0,33.0,39.0,866.0,510.0,2022-10-05 16:57:07,0.9.0-master,,,18.0,"Insanely fast, Feature-rich searching. lnx is the adaptable, typo tollerant deployment of the tantivy search engine...",,,5.0,15,True,3.0,,,
74,rain,substantic/rain,ml-frameworks,https://github.com/substantic/rain,https://github.com/substantic/rain,,MIT,2018-02-13 17:04:46,2023-03-04 01:27:07,2018-12-16 16:29:10,50.0,11.0,21.0,718.0,738.0,2018-09-05 14:54:26,0.4.0,842.0,13.0,10.0,Framework for large distributed pipelines.,,,10.0,15,False,2.0,,,
75,azure-sdk-for-rust,Azure/azure-sdk-for-rust,ml-frameworks,https://github.com/Azure/azure-sdk-for-rust,https://github.com/Azure/azure-sdk-for-rust,,MIT,2020-09-15 18:05:06,2023-04-28 02:11:23,2023-04-24 23:22:12,155.0,118.0,294.0,459.0,,2023-03-17 19:17:24,2023-03-17,,,13.0,This repository is for active development of the *unofficial* Azure SDK for Rust. This repository is *not* supported..,1.0,1.0,112.0,15,True,2.0,,,['binding']
76,nnsplit,bminixhofer/nnsplit,nlp,https://github.com/bminixhofer/nnsplit,https://github.com/bminixhofer/nnsplit,,MIT,2020-01-31 10:34:17,2023-03-05 19:15:20,2023-03-05 18:36:19,22.0,11.0,21.0,298.0,,2023-03-05 19:15:20,0.5.9,,,14.0,"Semantic text segmentation. For sentence boundary detection, compound splitting and more.",9.0,9.0,6.0,15,True,2.0,,2.0,
77,rs-natural,christophertrml/rs-natural,nlp,https://github.com/lexi-sh/rs-natural,https://github.com/lexi-sh/rs-natural,lexi-sh/rs-natural,MIT,2014-07-27 22:26:18,2023-02-11 03:58:48,2020-02-13 07:12:11,29.0,2.0,7.0,215.0,97.0,,,,,,Natural Language Processing for Rust.,310.0,310.0,14.0,15,False,2.0,,,
78,graphlib,purpleprotocol/graphlib,graph,https://github.com/purpleprotocol/graphlib,https://github.com/purpleprotocol/graphlib,,MIT,2019-03-14 12:52:32,2023-01-14 18:45:42,2021-11-09 12:03:42,14.0,7.0,23.0,182.0,172.0,2021-11-09 12:06:19,0.6.3,,,19.0,Simple but powerful graph library for Rust.,37.0,37.0,12.0,15,False,3.0,,,
79,pyrus-cramjam,milesgranger/pyrus-cramjam,ml-frameworks,https://github.com/milesgranger/pyrus-cramjam,https://github.com/milesgranger/pyrus-cramjam,,MIT,2020-03-08 07:46:33,2023-04-29 04:58:41,2023-04-29 04:57:45,2.0,4.0,28.0,56.0,79.0,2022-11-27 12:14:58,2.6.2.post1,,,33.0,Thin Python wrapper to de/compression algorithms in Rust - lightweight & no dependencies.,1142.0,1142.0,4.0,15,False,2.0,,,
80,leaf,autumnai/leaf,ml-frameworks,https://github.com/autumnai/leaf,https://github.com/autumnai/leaf,,Apache-2.0,2015-10-26 08:20:56,2018-01-14 18:40:05,2018-01-14 18:40:04,266.0,26.0,24.0,5508.0,164.0,,,,,,Open Machine Intelligence Framework for Hackers. (GPU/CPU).,,,15.0,14,False,2.0,,,
81,Toshi,toshi-search/Toshi,apps,https://github.com/toshi-search/Toshi,https://github.com/toshi-search/Toshi,,MIT,2018-06-28 13:23:45,2023-04-14 04:58:40,2023-01-04 14:30:07,118.0,13.0,106.0,3909.0,446.0,,,,,,A full-text search engine in rust.,,,19.0,14,True,3.0,,,
82,ballista,ballista-compute/ballista,ml-frameworks,https://github.com/ballista-compute/ballista,https://github.com/ballista-compute/ballista,,Apache-2.0,2019-07-04 17:09:41,2021-04-20 00:28:06,2021-04-20 00:28:05,145.0,,251.0,2317.0,,2021-02-23 02:39:20,0.4.1,,,17.0,"Distributed compute platform implemented in Rust, and powered by Apache Arrow.",,,37.0,14,False,2.0,,,
83,snips-nlu-rs,snipsco/snips-nlu-rs,nlp,https://github.com/snipsco/snips-nlu-rs,https://github.com/snipsco/snips-nlu-rs,,,2018-02-21 09:29:02,2022-12-26 20:39:00,2020-01-28 16:19:54,55.0,5.0,15.0,331.0,1583.0,2020-01-28 16:20:20,0.65.6,,,33.0,Snips NLU rust implementation.,,,23.0,14,False,2.0,,,
84,erdos,erdos-project/erdos,apps,https://github.com/erdos-project/erdos,https://github.com/erdos-project/erdos,,Apache-2.0,2018-11-05 20:19:05,2022-08-27 19:25:37,2022-08-27 19:25:37,35.0,12.0,31.0,169.0,536.0,,,,,5.0,Dataflow system for building self-driving car and robotics applications.,7.0,7.0,10.0,14,True,3.0,,,
85,rust-stemmers,CurrySoftware/rust-stemmers,nlp,https://github.com/CurrySoftware/rust-stemmers,https://github.com/CurrySoftware/rust-stemmers,,MIT,2017-02-07 13:00:30,2022-04-25 00:22:42,2021-05-13 07:18:43,14.0,,3.0,87.0,51.0,,,,,,A rust implementation of some popular snowball stemming algorithms.,2178.0,2178.0,5.0,14,False,2.0,,,
86,levenshtein-automata,tantivy-search/levenshtein-automata,nlp,https://github.com/quickwit-oss/levenshtein-automata,https://github.com/quickwit-oss/levenshtein-automata,quickwit-oss/levenshtein-automata,MIT,2017-11-16 00:26:08,2023-02-28 04:00:01,2021-10-19 02:30:27,13.0,1.0,4.0,52.0,27.0,2020-03-30 00:38:52,0.2.0,,,1.0,,2427.0,2427.0,4.0,14,False,2.0,,,
87,rust-stop-words,cmccomb/rust-stop-words,nlp,https://github.com/cmccomb/rust-stop-words,https://github.com/cmccomb/rust-stop-words,,MIT,2020-08-22 03:59:58,2023-04-02 16:37:00,2023-04-02 16:36:57,3.0,,,12.0,110.0,2023-03-31 21:33:11,0.7.1,,,7.0,Common stop words in a variety of languages.,29.0,29.0,,14,False,2.0,,2.0,
88,hora,hora-search/hora,ml-frameworks,https://github.com/hora-search/hora,https://github.com/hora-search/hora,,Apache-2.0,2021-05-15 07:46:32,2021-10-23 16:20:43,2021-10-23 16:20:43,58.0,19.0,10.0,2390.0,,,,,,,efficient approximate nearest neighbor search algorithm collections library written in Rust .,19.0,19.0,6.0,13,False,2.0,,,
89,hora-hora,hora-search/hora,apps,https://github.com/hora-search/hora,https://github.com/hora-search/hora,,Apache-2.0,2021-05-15 07:46:32,2021-10-23 16:20:43,2021-10-23 16:20:43,58.0,19.0,10.0,2390.0,,,,,,,efficient approximate nearest neighbor search algorithm collections library written in Rust .,19.0,19.0,6.0,13,False,3.0,,,
90,Enzyme,wsmoses/Enzyme,ml-frameworks,https://github.com/EnzymeAD/Enzyme,https://github.com/EnzymeAD/Enzyme,EnzymeAD/Enzyme,,2019-02-27 03:27:23,2023-05-01 05:52:05,2023-05-01 04:13:54,68.0,74.0,167.0,941.0,,2023-05-01 02:39:11,0.0.59,,,53.0,High-performance automatic differentiation of LLVM and MLIR.,,,28.0,13,False,2.0,,,
