,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending,new_addition,labels
95,granne,granne/granne,ml-frameworks,https://github.com/granne/granne,https://github.com/granne/granne,MIT,2019-12-06 09:12:47,2024-07-08 15:36:08,2021-05-19 16:09:39,22.0,9.0,9.0,319.0,203.0,2021-06-06 12:58:39,0.5.2,,,3.0,Graph-based Approximate Nearest Neighbor Search.,16.0,16.0,6.0,16,False,2.0,,,,
96,gap_statistic,milesgranger/gap_statistic,ml-frameworks,https://github.com/milesgranger/gap_statistic,https://github.com/milesgranger/gap_statistic,Unlicense,2016-04-25 11:22:18,2024-07-31 13:08:38,2023-07-31 04:15:48,50.0,6.0,33.0,230.0,135.0,2023-07-31 04:21:35,2.0.3,817.0,8.0,15.0,Dynamically get the suggested clusters in the data for unsupervised learning.,70.0,70.0,6.0,16,False,2.0,,,,
97,graphlib,purpleprotocol/graphlib,graph,https://github.com/purpleprotocol/graphlib,https://github.com/purpleprotocol/graphlib,MIT,2019-03-14 12:52:32,2023-01-14 18:45:42,2021-11-09 12:03:42,14.0,7.0,23.0,195.0,172.0,2021-11-09 12:06:19,0.6.3,,,19.0,Simple but powerful graph library for Rust.,51.0,51.0,12.0,16,False,3.0,,,,
98,rust-stemmers,CurrySoftware/rust-stemmers,nlp,https://github.com/CurrySoftware/rust-stemmers,https://github.com/CurrySoftware/rust-stemmers,MIT,2017-02-07 13:00:30,2024-04-27 21:45:49,2021-05-13 07:18:43,26.0,4.0,3.0,137.0,51.0,,,,,,A rust implementation of some popular snowball stemming algorithms.,6287.0,6287.0,5.0,16,False,2.0,,,,
99,spm_precompiled,huggingface/spm_precompiled,nlp,https://github.com/huggingface/spm_precompiled,https://github.com/huggingface/spm_precompiled,Apache-2.0,2020-09-15 19:11:01,2026-06-09 15:12:35,2026-06-09 15:11:44,14.0,,,22.0,21.0,,,,,,Highly specialized crate to parse and use `google/sentencepiece` 's precompiled_charsmap in `tokenizers`.,4262.0,4262.0,6.0,16,False,2.0,,,,
100,rust,tensorflow/rust,ml-frameworks,https://github.com/tensorflow/rust,https://github.com/tensorflow/rust,Apache-2.0,2016-02-05 00:32:17,2025-01-12 17:43:04,2025-01-12 17:43:04,431.0,63.0,127.0,5477.0,898.0,,,,,,Rust language bindings for TensorFlow.,,,49.0,15,False,2.0,,,,['binding']
101,lsp-ai,SilasMarvin/lsp-ai,apps,https://github.com/SilasMarvin/lsp-ai,https://github.com/SilasMarvin/lsp-ai,MIT,2023-11-24 17:08:42,2025-01-07 22:17:38,2025-01-07 22:17:34,114.0,41.0,36.0,3184.0,,2024-09-24 14:49:55,0.7.1,6308.0,252.0,12.0,"LSP-AI is an open-source language server that serves as a backend for AI-powered functionality, designed to assist and..",,,8.0,15,False,3.0,,,,
102,pgvectorscale,timescale/pgvectorscale,ml-frameworks,https://github.com/timescale/pgvectorscale,https://github.com/timescale/pgvectorscale,PostgreSQL,2023-07-01 01:05:05,2026-04-30 06:41:39,2026-04-30 06:41:39,138.0,14.0,87.0,3067.0,,2025-11-04 16:30:12,0.9.0,219264.0,6448.0,13.0,"Postgres extension for vector search (DiskANN), complements pgvector for performance and scale. Postgres OSS licensed.",,,16.0,15,False,2.0,,,True,
103,dfdx,coreylowman/dfdx,ml-frameworks,https://github.com/chelsea0x3b/dfdx,https://github.com/chelsea0x3b/dfdx,,2021-10-12 02:58:54,2024-07-23 02:05:58,2024-01-25 19:46:50,105.0,68.0,389.0,1912.0,,2023-07-27 13:15:10,0.13.0,,,8.0,"Deep learning in Rust, with shape checked tensors and neural networks.",107.0,107.0,40.0,15,False,2.0,chelsea0x3b/dfdx,,,
104,Enzyme,wsmoses/Enzyme,ml-frameworks,https://github.com/EnzymeAD/Enzyme,https://github.com/EnzymeAD/Enzyme,,2019-02-27 03:27:23,2026-07-01 11:06:02,2026-07-01 10:08:45,165.0,173.0,363.0,1633.0,,2026-06-28 07:25:26,0.0.277,,,100.0,High-performance automatic differentiation of LLVM and MLIR.,,,79.0,15,False,2.0,EnzymeAD/Enzyme,,,
105,lnx,lnx-search/lnx,apps,https://github.com/lnx-search/lnx,https://github.com/lnx-search/lnx,MIT,2021-08-13 15:05:22,2025-10-14 23:51:26,2025-10-14 23:51:24,53.0,43.0,54.0,1444.0,510.0,2022-10-05 16:57:07,0.9.0-master,,,18.0,"A flexible, performant and reliable search database without the AI bullshit.",,,4.0,15,True,3.0,,,,
106,whatlang-rs,greyblake/whatlang-rs,nlp,https://github.com/greyblake/whatlang-rs,https://github.com/greyblake/whatlang-rs,MIT,2016-11-05 21:26:51,2025-12-24 21:40:48,2025-12-24 21:40:37,66.0,11.0,48.0,1079.0,585.0,2022-10-23 14:15:03,0.16.2,,,4.0,Natural language detection library for Rust. Try demo online: https://whatlang.org/.,,,26.0,15,True,2.0,,,,
107,ratchet,huggingface/ratchet,ml-frameworks,https://github.com/huggingface/ratchet,https://github.com/huggingface/ratchet,MIT,2024-01-11 15:00:17,2026-05-26 10:32:47,2026-04-02 13:58:44,43.0,28.0,68.0,768.0,1256.0,,,,,,A cross-platform browser ML framework.,5.0,5.0,15.0,15,True,2.0,,,,
108,voicetypr,moinulmoin/voicetypr,ml-frameworks,https://github.com/moinulmoin/voicetypr,https://github.com/moinulmoin/voicetypr,,2025-07-06 18:32:58,2026-07-01 11:41:19,2026-06-30 20:19:39,72.0,2.0,36.0,389.0,,2026-06-30 20:24:48,2.0.3,16117.0,1343.0,33.0,"Voicetypr - AI powered offline voice to text dictation tool for busy founders, vibe coders, AI power users on macos,..",,,3.0,15,False,2.0,,,True,
