,name,github_id,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,labels,trending,new_addition
74,sprs,vbarrielle/sprs,ml-frameworks,https://github.com/vbarrielle/sprs,https://github.com/vbarrielle/sprs,,,2015-05-17 19:01:01,2021-07-31 16:20:41,2021-07-22 16:02:18,27.0,41.0,96.0,260.0,1035.0,,,,,,sparse linear algebra library for rust.,22.0,11,False,2,,,,,
75,rs-natural,christophertrml/rs-natural,nlp,https://github.com/lst-codes/rs-natural,https://github.com/lst-codes/rs-natural,lst-codes/rs-natural,MIT,2014-07-27 22:26:18,2020-10-17 18:22:37,2020-02-13 07:12:11,28.0,2.0,7.0,198.0,97.0,,,,,,Natural Language Processing for Rust.,14.0,11,False,2,,,,,
76,smartcore,smartcorelib/smartcore,ml-frameworks,https://github.com/smartcorelib/smartcore,https://github.com/smartcorelib/smartcore,,Apache-2.0,2019-05-08 05:14:51,2021-11-11 00:51:24,2021-11-11 00:51:24,24.0,29.0,21.0,194.0,,,,,,,SmartCore is a comprehensive library for machine learning and numerical computing. The library provides a set of tools..,15.0,11,True,2,,,,,
77,autograph,charles-r-earp/autograph,ml-frameworks,https://github.com/charles-r-earp/autograph,https://github.com/charles-r-earp/autograph,,,2019-06-17 23:43:49,2021-12-12 03:24:46,2021-12-12 03:13:18,7.0,1.0,5.0,173.0,,2021-12-12 03:24:46,0.1.1,,,2.0,Machine Learning Library for Rust.,3.0,11,False,2,,,,1.0,
78,rustling-ontology,snipsco/rustling-ontology,nlp,https://github.com/snipsco/rustling-ontology,https://github.com/snipsco/rustling-ontology,,,2017-04-24 15:08:48,2020-10-07 11:29:12,2020-10-07 11:29:08,44.0,28.0,26.0,115.0,1053.0,2020-01-23 14:58:51,0.19.3,,,49.0,Ontology for rustling.,19.0,11,False,2,,,,,
79,rust-tokenizers,guillaume-be/rust-tokenizers,nlp,https://github.com/guillaume-be/rust-tokenizers,https://github.com/guillaume-be/rust-tokenizers,,Apache-2.0,2019-11-09 16:14:11,2021-11-26 07:13:28,2021-11-07 08:06:28,14.0,1.0,5.0,108.0,383.0,,,,,,"Rust-tokenizer offers high-performance tokenizers for modern language models, including WordPiece, Byte-Pair Encoding..",3.0,11,True,2,,,,,
80,snips-nlu-ontology,snipsco/snips-nlu-ontology,nlp,https://github.com/snipsco/snips-nlu-ontology,https://github.com/snipsco/snips-nlu-ontology,,,2018-02-14 14:19:29,2020-03-08 14:16:49,2019-09-06 13:58:18,27.0,4.0,6.0,54.0,505.0,2019-09-06 13:58:41,0.67.2,,,35.0,Ontology of Snips NLU.,12.0,11,False,2,,,,,
81,gym-rs,mrrobb/gym-rs,ml-frameworks,https://github.com/MrRobb/gym-rs,https://github.com/MrRobb/gym-rs,,MIT,2019-08-20 23:26:06,2021-09-08 01:20:54,2020-07-24 16:19:15,3.0,3.0,6.0,37.0,152.0,2019-10-11 20:43:19,1.0.0,,,1.0,OpenAI Gym bindings for Rust.,3.0,11,False,2,,,['binding'],,
82,pyrus-cramjam,milesgranger/pyrus-cramjam,ml-frameworks,https://github.com/milesgranger/pyrus-cramjam,https://github.com/milesgranger/pyrus-cramjam,,MIT,2020-03-08 07:46:33,2021-12-08 19:32:12,2021-12-08 19:31:03,2.0,3.0,20.0,34.0,63.0,2021-12-08 19:32:12,2.5.0.post3,,,27.0,Thin Python wrapper to de/compression algorithms in Rust - lightweight & no dependencies.,3.0,11,False,2,,,,,
83,rust-stop-words,cmccomb/rust-stop-words,nlp,https://github.com/cmccomb/rust-stop-words,https://github.com/cmccomb/rust-stop-words,,MIT,2020-08-22 03:59:58,2021-11-11 15:02:11,2021-11-11 15:02:05,,,,5.0,67.0,2021-11-05 19:28:09,0.6.0,,,4.0,Common stop words in a variety of languages.,,11,False,2,,,,,
