,name,github_id,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,labels,trending,new_addition
127,whatlang-rs,greyblake/whatlang-rs,nlp,{},,,26.0,1,False,3.0,,,
128,snips-nlu-rs,snipsco/snips-nlu-rs,nlp,{},,,23.0,1,False,3.0,,,
129,rust,tensorflow/rust,ml-frameworks,{},,,49.0,1,False,3.0,['binding'],,
130,prophet,robbepop/prophet,ml-frameworks,{},14.0,14.0,2.0,1,False,3.0,,,
131,rustml,daniel-e/rustml,ml-frameworks,{},15.0,15.0,2.0,1,False,3.0,,,
132,batched-fn,epwalsh/batched-fn,ml-frameworks,{},8.0,8.0,3.0,1,False,3.0,,,
133,finalfrontier,finalfusion/finalfrontier,nlp,{},5.0,5.0,7.0,1,False,3.0,,,
134,lumberjack,sebpuetz/lumberjack,nlp,{},13.0,13.0,2.0,1,False,3.0,,,
135,syntaxdot,tensordot/syntaxdot,nlp,{},4.0,4.0,4.0,1,False,3.0,,,
136,Enzyme,wsmoses/Enzyme,ml-frameworks,{},,,86.0,1,False,3.0,,,
137,RusticSOM,avinashshenoy97/RusticSOM,ml-frameworks,{},3.0,3.0,5.0,1,False,3.0,,,
138,rust-sbert,cpcdoy/rust-sbert,nlp,{},6.0,6.0,6.0,1,False,3.0,,,
139,tch-serde,jerry73204/tch-serde,data-loading,{},5.0,5.0,4.0,1,False,3.0,,,
140,rustling-ontology,snipsco/rustling-ontology,nlp,{},,,23.0,1,False,3.0,,,
141,chr,pemistahl/chr,nlp,{},4.0,4.0,,1,False,3.0,,,
142,tractjs,bminixhofer/tractjs,ml-frameworks,{},15.0,15.0,2.0,1,False,3.0,,,
143,rust-numpy,PyO3/rust-numpy,ml-frameworks,{},,,65.0,1,False,3.0,,-20.0,
144,ngt-rs,lerouxrgd/ngt-rs,ml-frameworks,{},4.0,4.0,3.0,1,False,3.0,['binding'],,
145,ffsvm-rust,ralfbiedert/ffsvm-rust,ml-frameworks,{},5.0,5.0,3.0,1,False,3.0,,,
146,ungoliant,oscar-corpus/ungoliant,nlp,{},7.0,7.0,7.0,1,False,3.0,,,
147,quickwit,quickwit-inc/quickwit,apps,{},,,118.0,1,False,3.0,,,
148,zombodb,zombodb/zombodb,apps,{},,,36.0,1,False,3.0,,,
149,ChatGPT,lencx/ChatGPT,apps,{},,,31.0,1,False,3.0,,,
150,kafka-delta-ingest,delta-io/kafka-delta-ingest,data-loading,{},,,23.0,1,False,3.0,,,
151,arroyo,ArroyoSystems/arroyo,data-loading,{},,,43.0,1,False,3.0,,,
152,rsnltk,dhchenx/rsnltk,nlp,{},8.0,8.0,,1,False,3.0,,,
153,bloop,BloopAI/bloop,apps,{},,,30.0,1,False,3.0,,,
154,ratchet,huggingface/ratchet,ml-frameworks,{},5.0,5.0,15.0,1,False,3.0,,,
155,mistral.rs,EricLBuehler/mistral.rs,ml-frameworks,{},,,93.0,1,False,3.0,,,
156,tokengrams,EleutherAI/tokengrams,nlp,{},3.0,3.0,3.0,1,False,3.0,,,
157,TensorZero,tensorzero/tensorzero,mlops,{},,,119.0,1,False,3.0,,,
158,tabby,TabbyML/tabby,apps,{},,,119.0,1,False,3.0,,,True
159,trieve,devflowinc/trieve,apps,{},,,61.0,1,False,3.0,,,True
160,shimmy,Michael-A-Kuykendall/shimmy,ml-frameworks,{},6.0,6.0,,1,False,3.0,,,True
